"date","hour","so2","no2","pm25","pm10","ext_temp","ext_humi"
"2025-07-01",0,"39.55","62.45","45.62","89.60","28.50","88.91"
"2025-07-01",1,"39.13","48.62","46.62","97.07","28.39","89.31"
"2025-07-01",2,"38.24","44.30","41.90","78.07","28.36","89.37"
"2025-07-01",3,"37.58","36.52","35.61","65.58","28.06","89.92"
"2025-07-01",4,"36.80","39.23","34.69","63.43","28.00","90.71"
"2025-07-01",5,"37.94","35.26","34.46","65.52","27.95","90.67"
"2025-07-01",6,"39.06","36.80","31.51","60.79","28.13","90.31"
"2025-07-01",7,"44.69","26.86","36.15","80.19","29.18","87.44"
"2025-07-01",8,"49.93","19.70","37.66","85.99","30.07","84.07"
"2025-07-01",9,"54.46","19.61","38.21","81.33","30.73","81.51"
"2025-07-01",10,"49.27","36.97","36.88","65.64","30.00","85.31"
"2025-07-01",11,"57.10","10.68","40.04","74.93","32.13","78.64"
"2025-07-01",12,"49.55","35.80","38.09","67.19","30.99","81.55"
"2025-07-01",13,"59.31","8.50","39.84","75.09","33.48","74.17"
"2025-07-01",14,"56.66","9.09","43.62","81.18","33.09","73.67"
"2025-07-01",15,"57.71","16.20","43.42","80.61","33.13","73.90"
"2025-07-01",16,"51.67","41.16","43.14","79.81","31.70","78.78"
"2025-07-01",17,"48.84","60.24","47.75","85.43","30.25","85.97"
"2025-07-01",18,"49.34","84.77","51.80","90.63","29.09","91.72"
"2025-07-01",19,"51.41","79.37","52.65","93.23","29.16","91.72"
"2025-07-01",20,"50.36","58.73","48.57","85.45","29.12","89.45"
"2025-07-01",21,"46.33","50.41","46.23","81.67","28.76","89.44"
"2025-07-01",22,"46.16","47.77","45.67","80.89","28.58","89.54"
"2025-07-01",23,"43.00","48.41","42.38","74.91","28.50","88.72"
"2025-07-02",0,"40.41","40.06","37.51","66.63","28.43","88.45"
"2025-07-02",1,"38.74","47.34","36.30","64.96","28.25","89.47"
"2025-07-02",2,"38.13","50.27","34.63","62.46","28.07","89.92"
"2025-07-02",3,"38.80","35.45","35.03","63.22","27.74","91.56"
"2025-07-02",4,"40.29","24.40","38.12","67.65","27.70","92.17"
"2025-07-02",5,"41.04","34.18","39.92","70.66","27.75","92.16"
"2025-07-02",6,"39.77","24.26","33.47","59.46","27.75","92.23"
"2025-07-02",7,"44.01","24.97","38.11","67.47","28.43","91.34"
"2025-07-02",8,"48.67","20.87","30.97","58.08","30.05","86.26"
"2025-07-02",9,"55.70","12.78","31.64","62.24","31.30","81.47"
"2025-07-02",10,"56.89","9.87","29.55","61.38","31.76","78.24"
"2025-07-02",11,"62.36","4.29","27.05","54.81","33.41","73.39"
"2025-07-02",12,"61.98","10.47","32.27","62.32","32.96","75.28"
"2025-07-02",13,"58.77","18.16","29.44","59.23","33.19","73.74"
"2025-07-02",14,"66.01","11.96","31.66","67.77","34.56","70.76"
"2025-07-02",15,"67.89","7.20","30.03","62.05","34.36","70.50"
"2025-07-02",16,"59.62","25.99","26.84","59.11","33.36","72.45"
"2025-07-02",17,"60.42","40.17","40.04","86.11","32.56","75.22"
"2025-07-02",18,"50.35","81.45","25.17","45.22","29.28","88.82"
"2025-07-02",19,"47.66","72.77","26.51","46.81","28.62","91.74"
"2025-07-02",20,"52.30","73.89","28.27","50.16","28.58","91.75"
"2025-07-02",21,"52.66","68.76","29.61","52.62","28.49","91.50"
"2025-07-02",22,"57.88","55.97","31.20","55.58","28.50","91.63"
"2025-07-02",23,"49.57","47.39","28.74","51.45","28.39","91.58"
"2025-07-03",0,"47.02","46.03","26.89","48.21","28.48","90.98"
"2025-07-03",1,"44.62","48.70","27.00","48.22","28.31","91.58"
