"date","hour","so2","no2","pm25","pm10","ext_temp","ext_humi"
"2025-07-01",0,"2.83","6.65","21.01","36.83","28.66","89.19"
"2025-07-01",1,"2.83","6.67","22.46","39.61","28.56","89.28"
"2025-07-01",2,"2.86","6.64","22.88","40.34","28.44","89.27"
"2025-07-01",3,"3.06","6.64","22.82","40.25","28.36","89.31"
"2025-07-01",4,"3.08","6.52","22.84","40.13","28.34","89.15"
"2025-07-01",5,"3.08","6.58","22.84","40.35","28.36","89.37"
"2025-07-01",6,"3.20","6.51","27.23","47.88","28.45","88.70"
"2025-07-01",7,"3.33","6.14","24.21","42.86","28.93","86.96"
"2025-07-01",8,"3.41","5.75","22.01","38.94","29.24","86.29"
"2025-07-01",9,"3.68","5.46","21.93","38.94","29.61","85.08"
"2025-07-01",10,"4.14","4.80","22.78","40.20","30.59","81.91"
"2025-07-01",11,"4.21","4.81","23.59","41.41","30.73","81.34"
"2025-07-01",12,"4.27","4.74","23.17","40.43","30.95","80.94"
"2025-07-01",13,"4.72","4.25","23.58","40.98","32.36","76.25"
"2025-07-01",14,"4.93","3.70","22.70","39.25","32.73","73.93"
"2025-07-01",15,"4.73","4.58","22.15","38.36","32.58","74.32"
"2025-07-01",16,"5.67","5.29","23.20","40.34","32.59","73.80"
"2025-07-01",17,"5.15","5.40","22.55","39.22","32.30","76.42"
"2025-07-01",18,"4.44","9.79","23.36","41.09","30.11","85.32"
"2025-07-01",19,"3.85","11.50","25.23","45.05","29.52","87.60"
"2025-07-01",20,"3.62","8.07","25.29","45.48","29.37","88.38"
"2025-07-01",21,"3.57","7.24","23.33","41.98","29.33","88.40"
"2025-07-01",22,"3.37","6.88","24.25","43.78","29.25","89.23"
"2025-07-01",23,"3.17","6.90","25.77","45.73","28.77","90.67"
"2025-07-02",0,"3.84","6.63","26.13","46.40","28.69","91.26"
"2025-07-02",1,"3.84","6.43","25.33","45.65","28.61","93.75"
"2025-07-02",2,"4.50","7.29","24.07","43.51","28.83","92.97"
"2025-07-02",3,"4.62","6.24","26.74","49.03","28.91","91.28"
"2025-07-02",4,"4.98","6.17","26.10","48.16","28.96","91.01"
"2025-07-02",5,"5.50","6.06","24.28","44.23","28.71","93.73"
"2025-07-02",6,"5.52","6.09","24.48","43.28","28.13","94.48"
"2025-07-02",7,"4.91","6.29","24.21","41.83","27.29","95.99"
"2025-07-02",8,"5.17","6.19","20.98","36.04","28.36","92.01"
"2025-07-02",9,"6.12","5.86","19.79","33.97","31.11","81.52"
"2025-07-02",10,"9.91","2.16","19.13","32.66","33.34","73.14"
"2025-07-02",11,"9.60","1.13","18.97","32.38","32.94","74.08"
"2025-07-02",12,"7.02","4.10","20.29","34.66","32.82","74.49"
"2025-07-02",13,"7.89","4.00","19.49","33.16","34.55","67.88"
"2025-07-02",14,"7.78","3.75","18.55","31.70","33.48","70.61"
"2025-07-02",15,"6.27","5.24","17.34","29.49","33.54","69.99"
"2025-07-02",16,"6.42","4.42","18.22","30.99","33.48","70.66"
"2025-07-02",17,"6.03","8.30","19.84","34.02","30.84","81.11"
"2025-07-02",18,"5.46","8.72","20.59","35.58","30.52","82.81"
