"date","hour","so2","no2","pm25","pm10","ext_temp","ext_humi"
"2025-07-01",0,"3.90","8.50","47.41","83.99","30.43","87.30"
"2025-07-01",1,"3.77","7.71","50.21","88.88","30.35","88.43"
"2025-07-01",2,"3.55","7.76","44.16","78.38","29.29","89.47"
"2025-07-01",3,"3.40","7.79","41.40","73.64","29.21","89.55"
"2025-07-01",4,"3.39","7.84","38.67","68.93","29.09","89.77"
"2025-07-01",5,"3.40","7.88","38.46","68.59","29.72","90.11"
"2025-07-01",6,"3.47","7.88","37.56","67.00","28.96","90.55"
"2025-07-01",7,"3.97","7.51","35.90","64.16","30.01","86.76"
"2025-07-01",8,"4.31","7.63","34.85","62.27","30.68","84.26"
"2025-07-01",9,"5.28","7.67","36.76","66.07","32.56","78.29"
"2025-07-01",10,"5.42","7.92","36.20","64.97","32.80","76.78"
"2025-07-01",11,"6.10","7.72","40.70","73.97","34.17","71.48"
"2025-07-01",12,"5.41","12.44","42.09","74.94","32.97","75.91"
"2025-07-01",13,"5.96","7.71","44.02","79.29","34.05","72.83"
"2025-07-01",14,"5.10","31.85","42.56","76.00","31.76","81.67"
"2025-07-01",15,"4.64","22.88","41.04","73.21","30.63","86.54"
"2025-07-01",16,"4.70","49.49","45.85","81.81","30.52","89.31"
"2025-07-01",17,"4.79","8.82","43.49","77.03","30.97","85.07"
"2025-07-01",18,"4.74","27.34","51.61","91.02","30.59","85.28"
"2025-07-01",19,"5.41","31.01","57.22","100.94","30.89","85.28"
"2025-07-01",20,"4.91","17.35","51.55","90.99","30.73","83.14"
"2025-07-01",21,"5.13","14.11","56.72","100.44","30.58","83.73"
"2025-07-01",22,"5.79","7.95","61.27","107.79","30.43","83.92"
"2025-07-01",23,"5.50","9.29","47.45","83.94","30.21","85.02"
"2025-07-02",0,"4.30","7.78","43.28","76.87","29.97","85.85"
"2025-07-02",1,"3.96","7.78","40.06","71.36","29.74","87.41"
"2025-07-02",2,"3.74","7.80","40.73","72.44","29.52","88.39"
"2025-07-02",3,"3.67","7.87","41.61","73.98","29.17","90.28"
"2025-07-02",4,"3.59","7.79","37.21","66.45","29.00","91.22"
"2025-07-02",5,"3.69","7.71","35.83","64.09","28.91","91.70"
"2025-07-02",6,"3.46","7.83","32.34","58.00","28.69","92.34"
"2025-07-02",7,"4.86","7.79","32.19","57.78","29.18","90.53"
"2025-07-02",8,"4.82","7.67","28.80","51.88","30.75","85.00"
"2025-07-02",9,"4.92","7.68","28.87","51.95","32.23","79.07"
"2025-07-02",10,"5.22","7.77","25.93","46.75","33.05","74.96"
"2025-07-02",11,"5.45","7.89","29.30","53.13","33.46","74.22"
"2025-07-02",12,"6.03","7.76","26.02","47.13","34.84","68.79"
"2025-07-02",13,"5.85","7.79","27.17","49.91","34.28","70.69"
"2025-07-02",14,"5.97","7.72","25.45","46.68","34.73","68.57"
"2025-07-02",15,"5.93","7.66","24.90","45.52","34.76","68.70"
"2025-07-02",16,"5.64","7.58","20.84","38.19","33.66","69.53"
"2025-07-02",17,"5.26","11.07","24.24","45.08","33.48","72.61"
"2025-07-02",18,"4.23","64.98","21.05","38.47","30.83","82.72"
"2025-07-02",19,"3.75","54.97","20.98","38.34","30.11","85.83"
"2025-07-02",20,"4.36","45.09","29.80","55.96","30.35","85.60"
"2025-07-02",21,"4.99","52.49","32.73","62.72","30.59","84.42"
"2025-07-02",22,"5.10","74.21","37.05","70.31","30.54","85.30"
"2025-07-02",23,"5.04","49.63","36.11","68.34","30.52","83.96"
"2025-07-03",0,"4.46","37.32","32.76","60.47","30.41","84.32"
"2025-07-03",1,"4.62","22.65","28.66","52.22","30.08","85.92"
"2025-07-03",2,"3.98","7.51","34.08","60.99","30.64","87.13"
"2025-07-03",3,"4.00","7.83","32.24","57.83","29.80","88.50"
"2025-07-03",4,"3.96","7.87","41.37","73.93","29.57","89.88"
"2025-07-03",5,"4.93","7.50","39.41","70.18","29.68","88.44"
"2025-07-03",6,"3.74","7.78","38.86","69.52","29.63","88.66"
"2025-07-03",7,"4.13","7.72","41.98","75.21","30.37","87.02"
"2025-07-03",8,"4.82","7.83","31.50","57.52","32.03","80.49"
"2025-07-03",9,"5.71","7.74","30.43","56.65","33.99","73.35"
"2025-07-03",10,"6.09","7.73","31.82","59.57","34.32","72.08"
"2025-07-03",11,"6.03","7.65","29.63","55.99","34.42","71.36"
"2025-07-03",12,"6.72","7.43","32.16","61.82","34.93","71.84"
"2025-07-03",13,"7.14","7.66","27.50","53.41","36.48","66.36"
"2025-07-03",14,"7.34","7.70","27.01","54.59","36.40","65.05"
"2025-07-03",15,"6.75","9.92","32.63","66.38","34.67","70.87"
"2025-07-03",16,"5.55","49.82","40.38","73.64","32.39","79.15"
