"date","hour","so2","no2","pm25","pm10","ext_temp","ext_humi"
"2025-07-01",0,"7.43","54.04","29.59","50.58","28.63","87.02"
"2025-07-01",1,"7.68","32.95","28.98","49.50","28.66","87.22"
"2025-07-01",2,"7.47","31.05","26.16","44.40","28.60","87.55"
"2025-07-01",3,"7.70","26.77","25.43","43.10","28.41","87.89"
"2025-07-01",4,"7.34","26.73","23.51","39.71","28.26","88.11"
"2025-07-01",5,"7.43","31.95","23.85","40.41","28.17","88.29"
"2025-07-01",6,"7.36","34.92","22.24","37.67","28.25","88.08"
"2025-07-01",7,"7.32","31.48","22.86","38.91","29.17","86.46"
"2025-07-01",8,"7.55","31.79","21.66","36.76","29.87","84.30"
"2025-07-01",9,"7.33","30.31","21.79","37.07","30.98","81.36"
"2025-07-01",10,"7.25","27.49","24.31","41.27","32.04","78.98"
"2025-07-01",11,"7.36","24.37","23.89","40.50","33.62","73.44"
"2025-07-01",12,"7.42","44.00","24.49","41.38","33.05","77.05"
"2025-07-01",13,"8.94","34.47","25.15","42.95","33.84","74.58"
"2025-07-01",14,"7.42","50.59","26.30","45.38","32.18","79.22"
"2025-07-01",15,"7.63","71.16","28.02","47.72","31.37","82.77"
"2025-07-01",16,"7.70","43.68","27.43","47.11","31.61","81.86"
"2025-07-01",17,"7.36","47.36","27.34","47.13","31.16","81.40"
"2025-07-01",18,"7.65","87.72","32.76","56.55","30.42","83.46"
"2025-07-01",19,"7.54","61.37","27.80","47.82","30.38","82.45"
"2025-07-01",20,"7.64","71.49","28.73","49.35","29.89","83.47"
"2025-07-01",21,"7.47","81.11","28.55","49.18","29.65","84.18"
"2025-07-01",22,"7.43","64.84","27.10","46.49","29.43","84.36"
"2025-07-01",23,"9.26","62.23","26.56","45.43","29.23","85.30"
"2025-07-02",0,"7.40","59.55","25.76","44.13","28.94","86.07"
"2025-07-02",1,"7.55","52.11","24.42","41.75","28.75","86.80"
"2025-07-02",2,"7.55","42.82","23.46","39.93","28.64","86.97"
"2025-07-02",3,"9.16","36.30","23.63","40.37","28.46","88.06"
"2025-07-02",4,"7.42","36.86","20.18","34.23","28.25","88.39"
"2025-07-02",5,"9.46","55.59","19.53","33.23","28.20","88.55"
"2025-07-02",6,"7.50","55.90","21.81","37.69","28.13","89.30"
"2025-07-02",7,"7.55","50.91","22.47","39.11","28.75","88.05"
"2025-07-02",8,"7.58","30.55","24.27","42.10","30.02","84.64"
"2025-07-02",9,"10.96","24.54","21.70","37.42","31.92","79.06"
"2025-07-02",10,"7.55","21.79","19.27","33.24","33.87","71.96"
"2025-07-02",11,"7.45","23.90","19.20","32.80","34.92","68.62"
"2025-07-02",12,"7.27","21.87","20.00","34.65","34.21","70.30"
"2025-07-02",14,"7.39","19.65","19.20","32.71","35.81","63.84"
"2025-07-02",15,"7.49","23.92","19.20","32.69","36.17","64.44"
"2025-07-02",16,"7.84","26.86","17.88","30.41","35.23","64.45"
"2025-07-02",17,"7.76","54.16","17.91","30.58","34.13","68.14"
"2025-07-02",18,"7.58","80.11","16.52","28.05","30.57","80.08"
"2025-07-02",19,"7.54","80.10","18.08","30.67","30.05","82.52"
"2025-07-02",20,"6.44","68.67","19.29","32.90","29.74","83.66"
"2025-07-02",21,"7.84","61.76","19.58","33.42","29.43","84.84"
"2025-07-02",22,"9.39","81.96","21.10","36.38","29.29","85.52"
"2025-07-02",23,"7.44","69.17","19.75","33.76","29.44","84.01"
"2025-07-03",0,"7.05","51.12","18.53","31.27","29.26","84.84"
"2025-07-03",1,"8.32","48.03","19.51","32.82","28.91","86.23"
"2025-07-03",2,"6.39","48.66","21.52","36.34","28.79","86.98"
"2025-07-03",3,"7.37","30.37","22.02","37.21","28.97","86.81"
