"date","hour","so2","no2","pm25","pm10","ext_temp","ext_humi"
"2025-07-01",0,"7.76","23.15","35.36","61.45","29.13","88.09"
"2025-07-01",1,"7.59","20.31","35.64","62.02","29.05","88.75"
"2025-07-01",2,"7.25","17.32","32.34","55.72","28.76","90.25"
"2025-07-01",3,"7.04","19.38","28.47","48.90","28.54","91.44"
"2025-07-01",4,"7.04","15.09","27.52","47.16","28.48","91.08"
"2025-07-01",5,"7.86","16.09","32.30","56.05","28.49","91.44"
"2025-07-01",6,"7.75","19.00","28.41","48.91","28.55","90.97"
"2025-07-01",7,"8.85","13.95","31.89","55.19","29.48","88.14"
"2025-07-01",8,"9.37","7.17","31.97","55.28","30.42","84.67"
"2025-07-01",9,"9.71","5.45","31.55","55.15","31.02","81.94"
"2025-07-01",10,"8.90","18.59","31.81","54.62","29.56","89.11"
"2025-07-01",11,"11.21","4.99","33.13","57.25","33.16","75.79"
"2025-07-01",12,"11.42","5.92","34.83","60.98","33.64","73.83"
"2025-07-01",13,"10.69","4.00","35.17","65.10","34.32","70.37"
"2025-07-01",14,"10.14","3.92","36.24","68.53","34.85","67.11"
"2025-07-01",15,"11.69","9.04","37.69","72.27","34.31","71.00"
"2025-07-01",16,"11.73","19.20","40.19","78.14","32.42","78.63"
"2025-07-01",17,"8.47","23.02","34.10","61.80","30.23","85.11"
"2025-07-01",18,"9.89","29.02","41.65","72.94","29.82","90.75"
"2025-07-01",19,"10.90","20.92","41.23","72.26","30.02","88.66"
"2025-07-01",20,"10.60","19.41","39.77","69.31","29.71","87.16"
"2025-07-01",21,"11.02","17.84","38.42","67.34","29.73","87.16"
"2025-07-01",22,"10.14","17.80","36.40","63.63","29.63","86.54"
"2025-07-01",23,"8.37","18.87","31.92","56.09","29.41","86.39"
"2025-07-02",0,"7.45","17.36","29.61","51.50","29.20","86.64"
"2025-07-02",1,"7.23","16.14","28.71","49.84","29.01","87.72"
"2025-07-02",2,"7.47","15.93","28.86","50.50","28.93","88.94"
"2025-07-02",3,"7.45","12.92","30.27","52.63","28.80","90.23"
"2025-07-02",4,"7.43","9.13","28.50","49.93","28.77","90.83"
"2025-07-02",5,"7.43","10.06","27.32","47.91","28.66","91.02"
"2025-07-02",6,"9.11","9.26","38.28","66.78","28.59","91.61"
"2025-07-02",7,"10.61","9.64","42.66","74.32","29.40","90.20"
"2025-07-02",8,"10.29","7.96","28.15","48.87","30.66","85.22"
"2025-07-02",9,"11.43","3.92","27.52","48.33","32.44","78.40"
"2025-07-02",10,"10.71","1.55","25.24","46.91","33.38","71.97"
"2025-07-02",11,"11.26","1.89","33.17","63.84","34.88","67.79"
"2025-07-02",12,"12.22","2.70","34.33","71.67","35.27","67.12"
"2025-07-02",13,"11.32","8.47","33.64","75.91","34.61","68.22"
"2025-07-02",14,"13.60","2.06","42.18","86.31","36.49","62.51"
"2025-07-02",15,"12.62","3.34","39.25","93.42","36.09","63.36"
"2025-07-02",16,"11.44","2.79","36.66","92.29","36.07","61.59"
"2025-07-02",17,"10.95","12.68","35.60","90.51","33.98","68.34"
