"date","hour","so2","no2","pm25","pm10","ext_temp","ext_humi"
"2025-07-01",0,"3.13","1.50","38.09","68.25","28.46","94.27"
"2025-07-01",1,"2.74","1.00","35.25","63.06","28.32","94.12"
"2025-07-01",2,"3.78","1.07","33.44","59.87","28.18","94.75"
"2025-07-01",3,"4.58","0.88","34.04","60.98","28.08","95.36"
"2025-07-01",4,"4.98","1.25","35.60","64.01","28.07","95.81"
"2025-07-01",5,"4.87","0.96","34.91","63.04","28.18","95.66"
"2025-07-01",6,"4.97","0.94","32.14","58.12","28.17","95.20"
"2025-07-01",7,"5.07","1.10","31.45","56.45","28.59","93.50"
"2025-07-01",8,"4.49","2.95","27.45","49.46","29.72","90.14"
"2025-07-01",9,"2.57","4.20","27.17","48.69","30.95","85.42"
"2025-07-01",10,"2.63","5.89","28.66","50.86","32.55","80.33"
"2025-07-01",11,"2.48","5.54","30.23","53.22","32.71","78.58"
"2025-07-01",12,"3.63","5.59","32.75","57.45","34.68","72.92"
"2025-07-01",13,"4.75","10.01","34.49","60.16","35.91","68.69"
"2025-07-01",14,"4.50","8.91","34.55","60.46","36.26","67.94"
"2025-07-01",15,"3.44","5.85","35.00","61.35","35.41","69.74"
"2025-07-01",16,"3.48","6.01","37.62","65.44","35.56","68.74"
"2025-07-01",17,"3.92","5.90","38.67","67.45","34.95","70.13"
"2025-07-01",18,"7.24","2.03","39.07","68.73","33.04","75.36"
"2025-07-01",19,"7.96","5.90","37.59","66.53","31.48","80.35"
"2025-07-01",20,"8.13","5.96","37.70","66.98","30.46","83.52"
"2025-07-01",21,"6.48","5.58","36.05","64.38","29.94","85.47"
"2025-07-01",22,"6.21","5.67","35.76","64.30","29.64","87.68"
"2025-07-01",23,"5.57","4.82","35.50","64.06","29.46","89.46"
"2025-07-02",0,"5.50","3.76","35.98","64.93","29.30","90.93"
"2025-07-02",1,"5.87","1.71","35.82","64.77","29.10","91.46"
"2025-07-02",2,"5.13","1.27","33.85","61.05","28.82","92.38"
"2025-07-02",3,"4.93","1.02","30.47","55.02","28.65","93.19"
"2025-07-02",4,"4.97","1.53","30.67","55.42","28.65","93.15"
"2025-07-02",5,"4.42","2.39","30.12","54.44","28.69","92.72"
"2025-07-02",6,"4.55","1.43","31.76","57.62","28.50","93.50"
"2025-07-02",7,"4.55","1.26","34.85","63.13","28.88","92.97"
