"date","hour","so2","no2","pm25","pm10","ext_temp","ext_humi"
"2025-07-01",0,"4.64","14.16","31.19","56.30","28.51","92.00"
"2025-07-01",1,"4.54","9.48","31.13","56.08","28.49","92.30"
"2025-07-01",2,"4.38","7.21","28.76","50.65","28.34","93.47"
"2025-07-01",3,"4.26","8.13","27.21","47.09","28.15","94.28"
"2025-07-01",4,"4.31","6.70","25.04","43.30","28.08","93.73"
"2025-07-01",5,"4.32","10.13","25.67","45.70","28.00","94.37"
"2025-07-01",6,"4.51","12.11","24.64","44.95","28.14","93.79"
"2025-07-01",7,"5.13","10.11","25.05","46.41","29.20","90.38"
"2025-07-01",8,"5.80","6.51","23.75","43.17","30.12","86.59"
"2025-07-01",9,"6.86","3.08","24.18","44.04","31.46","81.85"
"2025-07-01",10,"7.19","4.84","25.78","46.66","31.91","80.61"
"2025-07-01",11,"8.27","1.34","26.39","48.14","34.16","72.53"
"2025-07-01",12,"8.25","3.62","28.05","50.71","34.44","73.52"
"2025-07-01",13,"8.88","2.22","29.77","54.12","34.56","72.70"
"2025-07-01",14,"7.92","11.57","29.57","53.71","31.99","81.75"
"2025-07-01",15,"6.92","20.23","29.29","52.08","30.48","88.46"
"2025-07-01",16,"6.63","18.20","31.17","54.64","30.88","89.28"
"2025-07-01",17,"6.26","10.06","28.74","50.53","30.16","87.72"
"2025-07-01",18,"5.72","17.65","32.12","56.30","29.34","90.36"
"2025-07-01",19,"8.03","21.98","38.00","68.19","29.74","90.76"
"2025-07-01",20,"7.31","20.02","35.76","64.26","29.46","89.78"
"2025-07-01",21,"7.97","18.15","32.99","59.52","29.37","88.93"
"2025-07-01",22,"6.23","16.43","31.68","57.53","29.22","88.69"
"2025-07-01",23,"5.64","14.00","29.36","53.11","29.00","89.45"
"2025-07-02",0,"5.19","14.65","28.53","51.79","28.73","90.97"
"2025-07-02",1,"4.74","14.73","27.37","50.45","28.50","92.22"
"2025-07-02",2,"4.67","11.64","27.02","48.92","28.29","93.65"
"2025-07-02",3,"4.66","8.38","27.77","50.06","28.14","94.70"
"2025-07-02",4,"4.67","10.11","24.96","44.74","28.03","95.52"
"2025-07-02",5,"4.70","9.59","24.15","43.51","27.77","96.39"
"2025-07-02",6,"4.86","12.74","24.95","45.45","27.83","96.36"
"2025-07-02",7,"5.28","11.22","23.79","43.89","28.60","93.47"
"2025-07-02",8,"6.10","5.79","21.74","39.96","30.27","87.33"
"2025-07-02",9,"7.96","1.38","21.74","40.33","32.62","78.42"
"2025-07-02",10,"8.25","1.78","20.79","38.98","33.15","75.02"
"2025-07-02",11,"8.89","1.75","21.35","39.55","34.64","71.89"
"2025-07-02",12,"9.71","1.45","21.59","40.57","35.86","66.79"
"2025-07-02",13,"9.19","2.18","21.20","39.53","34.74","70.07"
"2025-07-02",14,"9.38","2.48","22.14","42.20","35.76","67.04"
"2025-07-02",15,"9.79","1.74","20.68","38.55","35.94","66.38"
"2025-07-02",16,"8.80","4.72","19.08","35.78","34.20","69.33"
"2025-07-02",17,"8.50","9.62","19.02","35.70","33.34","73.75"
"2025-07-02",18,"6.92","17.91","18.73","34.88","30.45","84.19"
"2025-07-02",19,"7.29","19.28","19.82","37.24","29.75","87.27"
"2025-07-02",20,"7.38","18.45","22.66","42.37","29.64","87.99"
"2025-07-02",21,"7.70","20.79","28.30","52.62","29.43","88.31"
"2025-07-02",22,"7.16","23.66","24.86","45.86","29.38","89.29"
"2025-07-02",23,"6.68","19.15","23.52","44.07","29.37","88.59"
"2025-07-03",0,"5.75","19.67","22.34","41.12","29.05","89.81"
"2025-07-03",1,"5.61","16.92","21.83","40.13","28.97","90.74"
"2025-07-03",2,"5.46","12.66","23.64","43.05","28.80","92.21"
"2025-07-03",3,"5.07","9.34","25.14","45.10","28.67","92.98"
"2025-07-03",4,"4.81","8.40","26.88","48.04","28.53","93.45"
"2025-07-03",5,"4.67","9.59","28.39","52.44","28.46","93.66"
"2025-07-03",6,"4.63","12.80","27.21","49.60","28.53","93.31"
"2025-07-03",7,"5.07","7.70","24.82","45.36","29.22","91.31"
"2025-07-03",8,"6.12","2.82","21.86","40.41","30.90","84.63"
"2025-07-03",9,"7.07","2.70","22.89","44.82","31.80","81.40"
"2025-07-03",10,"7.58","5.27","22.95","41.81","32.22","81.11"
"2025-07-03",11,"8.43","1.84","21.59","40.44","34.16","74.58"
"2025-07-03",12,"8.10","4.89","21.77","40.40","33.37","76.02"
"2025-07-03",13,"8.47","1.53","21.26","39.50","35.90","67.47"
"2025-07-03",14,"9.46","1.27","20.50","38.18","36.17","64.95"
"2025-07-03",15,"8.45","6.58","24.02","44.13","33.53","72.62"
"2025-07-03",16,"8.69","18.16","30.18","55.82","31.93","80.06"
"2025-07-03",17,"7.30","19.79","30.18","55.01","30.83","84.38"
"2025-07-03",18,"7.69","20.88","34.42","62.18","30.83","85.57"
"2025-07-03",19,"6.99","17.82","31.99","57.77","30.22","86.83"
"2025-07-03",20,"7.62","17.70","29.34","53.39","29.75","88.30"
"2025-07-03",21,"6.25","16.63","26.41","48.24","29.61","88.92"
"2025-07-03",22,"5.92","14.86","26.09","47.88","29.43","89.67"
"2025-07-03",23,"5.68","15.97","26.69","48.81","29.28","90.31"
"2025-07-04",0,"5.30","17.50","30.91","56.37","28.98","91.88"
"2025-07-04",1,"5.12","16.17","31.79","57.53","28.96","92.81"
"2025-07-04",2,"6.01","13.48","32.64","59.36","28.95","93.13"
"2025-07-04",3,"4.96","12.31","30.18","54.44","28.83","92.78"
"2025-07-04",4,"4.72","14.23","28.51","52.66","28.57","93.44"
"2025-07-04",5,"4.88","13.23","31.35","59.87","28.42","94.50"
"2025-07-04",6,"5.05","12.03","30.59","56.05","28.56","93.53"
"2025-07-04",7,"5.74","12.94","31.98","58.29","28.80","90.61"
"2025-07-04",8,"6.79","12.16","37.49","68.05","30.25","87.43"
"2025-07-04",9,"7.59","5.21","34.65","63.01","31.84","81.78"
"2025-07-04",10,"8.47","3.52","33.79","61.86","32.73","78.57"
"2025-07-04",11,"8.10","7.96","34.03","61.97","32.06","79.45"
"2025-07-04",12,"7.99","15.52","37.23","66.83","31.33","84.63"
"2025-07-04",13,"7.58","22.73","40.16","71.17","30.43","90.40"
"2025-07-04",14,"6.81","20.16","37.80","66.63","29.78","92.14"
"2025-07-04",15,"5.39","19.15","26.06","44.75","27.93","96.58"
"2025-07-04",16,"6.33","21.05","26.17","45.12","27.70","97.14"
"2025-07-04",17,"5.66","19.40","31.31","53.82","28.07","97.45"
"2025-07-04",18,"6.70","24.06","38.97","68.27","28.36","97.75"
"2025-07-04",19,"6.21","20.19","34.80","60.13","28.14","97.45"
"2025-07-04",20,"6.96","19.81","33.80","59.81","28.19","97.50"
"2025-07-04",21,"6.13","16.59","34.43","60.80","28.02","96.57"
"2025-07-04",22,"5.13","15.23","24.50","43.30","27.27","96.61"
"2025-07-04",23,"4.91","14.34","26.32","46.26","27.31","96.61"
"2025-07-05",0,"5.40","16.94","31.20","56.13","27.43","95.67"
"2025-07-05",1,"5.33","14.93","32.53","58.27","27.54","95.34"
"2025-07-05",2,"4.96","13.60","27.22","48.52","27.67","95.83"
"2025-07-05",3,"4.91","12.30","27.12","47.84","27.71","95.69"
"2025-07-05",4,"6.08","15.58","29.34","52.09","27.66","96.12"
"2025-07-05",5,"5.65","13.23","27.71","49.36","27.71","96.22"
"2025-07-05",6,"5.09","12.80","28.77","51.15","27.83","95.90"
