"date","hour","so2","no2","pm25","pm10","ext_temp","ext_humi"
"2025-07-01",0,"31.55","0.85","24.32","41.95","27.75","94.39"
"2025-07-01",1,"29.34","0.62","26.58","45.81","27.68","94.61"
"2025-07-01",2,"28.46","0.77","25.45","43.88","27.57","94.50"
"2025-07-01",3,"27.65","0.71","27.36","47.18","27.49","94.65"
"2025-07-01",4,"28.55","0.86","28.49","49.09","27.55","94.49"
"2025-07-01",5,"28.87","0.83","28.48","49.17","27.47","94.50"
"2025-07-01",6,"27.82","0.98","29.72","51.25","27.41","94.39"
"2025-07-01",7,"25.68","0.69","30.84","53.32","27.60","94.05"
"2025-07-01",8,"26.79","0.76","29.85","51.74","28.26","92.52"
"2025-07-01",9,"26.91","1.53","28.14","49.02","29.16","89.70"
"2025-07-01",10,"23.51","2.99","27.94","49.40","30.61","85.00"
"2025-07-01",11,"22.57","4.29","27.77","49.60","31.88","80.27"
"2025-07-01",12,"22.55","5.74","27.34","48.80","31.98","80.97"
"2025-07-01",13,"26.28","3.92","25.08","44.93","32.20","80.89"
"2025-07-01",14,"28.50","3.34","19.38","34.58","33.13","76.08"
"2025-07-01",15,"17.62","8.21","20.57","37.12","32.99","75.79"
"2025-07-01",16,"24.86","4.84","19.83","35.42","32.19","78.56"
"2025-07-01",17,"32.59","2.25","20.62","35.63","30.74","82.97"
"2025-07-01",18,"34.84","1.70","23.11","40.63","31.07","81.74"
"2025-07-01",19,"38.95","0.86","23.00","40.40","30.18","87.16"
"2025-07-01",20,"42.15","1.01","25.64","44.63","29.43","91.09"
"2025-07-01",21,"43.09","0.82","24.74","42.81","29.30","88.98"
"2025-07-01",22,"40.44","0.69","25.29","43.68","28.69","91.67"
"2025-07-01",23,"42.26","0.63","25.14","43.54","28.55","93.06"
"2025-07-02",0,"40.35","0.63","24.02","41.50","28.27","93.48"
"2025-07-02",1,"40.70","0.67","23.01","39.74","28.07","93.77"
"2025-07-02",2,"39.49","0.68","23.22","40.05","27.86","94.21"
"2025-07-02",3,"40.09","0.76","23.07","39.80","27.81","94.35"
"2025-07-02",4,"37.83","0.71","23.03","39.70","27.60","94.69"
"2025-07-02",5,"35.54","0.72","22.34","38.52","27.48","94.42"
"2025-07-02",6,"34.66","0.66","22.08","38.14","27.51","94.51"
"2025-07-02",7,"36.62","0.68","22.23","38.80","28.04","93.14"
"2025-07-02",8,"39.00","0.83","22.15","38.82","28.83","90.91"
"2025-07-02",9,"37.88","1.63","21.83","38.38","30.29","85.52"
"2025-07-02",10,"33.26","4.46","22.07","39.23","31.93","78.94"
"2025-07-02",11,"26.70","7.29","21.79","38.77","32.63","75.66"
"2025-07-02",12,"20.55","7.65","21.65","38.91","33.62","71.85"
"2025-07-02",13,"22.29","7.07","20.28","37.11","34.38","68.69"
"2025-07-02",14,"16.45","8.31","20.11","37.35","34.42","69.62"
"2025-07-02",15,"20.15","6.90","20.66","37.19","33.92","71.94"
"2025-07-02",16,"31.01","4.32","20.64","37.35","33.20","75.60"
"2025-07-02",17,"39.91","3.22","23.16","40.51","29.61","91.73"
"2025-07-02",18,"44.85","3.35","22.33","39.20","30.32","89.89"
"2025-07-02",19,"41.23","1.47","19.57","34.32","29.97","89.28"
"2025-07-02",20,"38.12","1.43","18.93","32.80","28.94","92.65"
"2025-07-02",21,"41.82","1.34","19.20","33.44","28.98","93.40"
"2025-07-02",22,"39.94","0.57","17.84","30.98","28.93","90.99"
"2025-07-02",23,"38.41","0.70","17.92","31.20","28.71","92.12"
"2025-07-03",0,"36.55","0.74","17.48","30.12","28.30","92.79"
"2025-07-03",1,"34.68","0.77","16.97","29.23","28.09","93.45"
"2025-07-03",2,"35.90","0.87","16.64","28.70","27.99","93.56"
"2025-07-03",3,"34.21","1.27","18.16","31.29","27.70","94.81"
"2025-07-03",4,"35.05","0.62","19.08","32.91","27.48","94.96"
"2025-07-03",5,"34.91","0.68","19.23","33.91","27.43","94.94"
"2025-07-03",6,"32.10","0.74","17.57","30.38","27.38","94.58"
"2025-07-03",7,"33.65","0.77","18.98","32.72","27.55","94.45"
"2025-07-03",8,"33.03","1.35","25.22","43.63","27.98","94.16"
"2025-07-03",9,"36.15","1.89","28.64","49.55","28.20","94.01"
"2025-07-03",10,"46.52","2.07","31.32","55.26","31.05","84.79"
"2025-07-03",11,"44.56","4.40","30.09","53.85","33.41","75.89"
"2025-07-03",12,"39.05","8.72","26.75","48.05","33.87","72.36"
"2025-07-03",13,"41.77","7.52","25.97","46.53","34.14","71.72"
"2025-07-03",14,"40.20","8.59","25.12","45.24","33.90","71.69"
"2025-07-03",15,"42.93","6.04","23.88","43.22","34.27","71.53"
"2025-07-03",16,"42.54","5.99","21.64","39.05","33.29","74.97"
"2025-07-03",17,"45.11","4.38","19.55","34.94","31.74","80.07"
"2025-07-03",18,"48.59","1.05","18.62","32.69","29.57","87.54"
"2025-07-03",19,"45.74","0.72","17.57","30.33","29.09","87.65"
"2025-07-03",20,"44.42","1.03","18.25","31.75","28.82","90.08"
"2025-07-03",21,"46.21","0.97","18.95","32.90","28.64","91.73"
"2025-07-03",22,"44.21","0.69","19.00","32.99","28.45","92.52"
"2025-07-03",23,"43.59","0.59","18.73","32.45","28.15","92.87"
"2025-07-04",0,"41.42","0.59","18.38","31.74","28.00","92.75"
"2025-07-04",1,"42.16","0.64","20.50","35.48","28.13","93.09"
"2025-07-04",2,"42.22","0.61","22.28","38.67","28.20","93.15"
"2025-07-04",3,"43.62","0.74","25.45","44.29","28.31","93.17"
"2025-07-04",4,"42.09","0.67","26.61","46.56","28.27","93.74"
"2025-07-04",5,"43.68","0.79","26.31","45.50","28.20","93.75"
"2025-07-04",6,"45.25","0.65","26.64","46.23","28.35","93.55"
"2025-07-04",7,"45.78","0.73","28.57","49.70","28.76","92.65"
"2025-07-04",8,"49.50","0.93","29.27","50.91","29.36","90.61"
"2025-07-04",9,"62.39","1.66","29.91","52.55","31.52","83.23"
"2025-07-04",10,"60.82","5.38","30.65","54.02","32.77","77.43"
"2025-07-04",11,"65.76","5.32","33.16","58.52","33.14","76.38"
"2025-07-04",12,"64.47","6.36","34.45","60.87","32.84","77.95"
"2025-07-04",13,"58.23","5.67","33.32","58.49","30.98","84.58"
"2025-07-04",14,"47.78","1.90","18.82","31.43","27.01","94.15"
"2025-07-04",15,"49.66","0.77","23.18","39.73","26.95","94.30"
"2025-07-04",16,"54.39","0.98","23.21","39.71","27.49","93.40"
"2025-07-04",17,"52.29","0.69","22.95","39.42","28.16","92.33"
"2025-07-04",18,"48.59","0.79","24.01","41.43","28.41","92.36"
"2025-07-04",19,"46.09","1.22","25.64","44.19","27.92","92.05"
"2025-07-04",20,"45.58","0.89","28.45","49.06","27.73","93.34"
"2025-07-04",21,"45.90","0.62","30.04","51.82","27.90","93.73"
"2025-07-04",22,"46.12","0.74","29.73","51.39","28.05","93.81"
"2025-07-04",23,"45.00","0.95","27.94","48.21","27.88","93.08"
"2025-07-05",0,"43.42","1.07","24.73","42.65","27.64","93.10"
"2025-07-05",1,"43.77","1.10","24.37","42.01","27.62","93.31"
"2025-07-05",2,"43.78","1.15","23.63","40.74","27.62","93.20"
"2025-07-05",3,"42.30","1.30","24.52","42.22","27.36","94.50"
"2025-07-05",4,"42.68","0.87","26.70","45.99","27.32","94.96"
"2025-07-05",5,"42.02","0.78","27.76","47.92","27.53","94.68"
"2025-07-05",6,"42.31","0.89","27.71","47.82","27.45","94.73"
"2025-07-05",7,"43.86","0.79","27.86","48.44","27.63","94.49"
"2025-07-05",8,"44.07","0.73","30.58","53.32","28.02","93.65"
"2025-07-05",9,"48.09","1.14","29.93","52.11","28.89","91.07"
"2025-07-05",10,"54.85","1.52","30.84","54.23","30.63","84.98"
"2025-07-05",11,"51.10","5.15","32.62","57.60","31.98","79.61"
"2025-07-05",12,"54.52","5.45","33.02","58.17","32.20","79.12"
"2025-07-05",13,"60.07","5.29","33.92","60.73","34.07","73.03"
"2025-07-05",14,"49.23","8.63","34.05","61.03","33.44","74.50"
"2025-07-05",15,"54.05","4.71","35.52","62.23","30.64","86.17"
"2025-07-05",16,"64.74","1.31","36.23","63.71","32.05","81.84"
"2025-07-05",17,"49.68","5.62","33.14","59.13","32.14","79.69"
"2025-07-05",18,"55.02","2.26","27.66","48.51","29.86","86.67"
"2025-07-05",19,"54.03","0.81","28.81","50.02","28.99","88.66"
"2025-07-05",20,"50.61","0.68","32.47","56.14","28.40","92.42"
"2025-07-05",21,"48.63","0.77","31.42","54.26","28.08","92.98"
"2025-07-05",22,"46.87","0.70","25.25","43.56","27.86","94.87"
"2025-07-05",23,"46.22","0.63","24.57","42.44","28.01","93.62"
"2025-07-06",0,"46.28","0.67","26.16","45.18","27.98","93.71"
"2025-07-06",1,"44.71","0.79","28.02","48.42","27.82","94.38"
"2025-07-06",2,"43.44","0.65","30.24","52.17","27.76","94.52"
"2025-07-06",3,"44.32","0.78","30.95","53.48","27.84","94.20"
"2025-07-06",4,"40.93","1.02","29.75","51.33","27.65","94.23"
"2025-07-06",5,"41.53","0.87","29.95","51.72","27.59","94.30"
"2025-07-06",6,"39.91","0.95","30.77","53.18","27.63","94.11"
"2025-07-06",7,"40.43","0.90","33.23","57.40","27.93","93.75"
"2025-07-06",8,"43.48","0.87","29.82","51.59","28.35","92.56"
"2025-07-06",9,"44.84","1.30","27.75","48.66","29.61","88.48"
"2025-07-06",10,"41.78","2.70","29.34","51.85","30.57","85.17"
"2025-07-06",11,"40.02","4.43","29.35","52.34","31.76","81.31"
"2025-07-06",12,"30.38","5.78","27.46","49.12","32.59","77.74"
"2025-07-06",13,"19.75","8.02","26.57","47.46","32.23","77.84"
"2025-07-06",14,"29.20","3.77","26.44","46.64","30.39","84.77"
"2025-07-06",15,"37.50","1.79","19.90","34.38","28.18","92.29"
"2025-07-06",16,"38.92","1.35","21.25","36.88","28.99","91.08"
"2025-07-06",17,"40.23","0.67","20.55","35.65","29.56","88.88"
"2025-07-06",18,"38.37","0.94","21.02","36.47","29.52","88.44"
