"date","hour","so2","no2","pm25","pm10","ext_temp","ext_humi"
"2025-07-01",0,"15.44","44.45","23.30","40.15","28.82","88.34"
"2025-07-01",1,"15.45","43.82","21.74","37.04","28.57","88.81"
"2025-07-01",2,"15.49","44.69","22.81","39.11","28.43","88.82"
"2025-07-01",3,"15.45","43.59","22.91","39.32","28.51","88.40"
"2025-07-01",4,"15.45","43.03","25.00","42.97","28.57","88.14"
"2025-07-01",5,"15.70","43.69","30.47","52.49","28.65","88.16"
"2025-07-01",6,"16.40","44.33","28.63","49.45","28.76","88.17"
"2025-07-01",7,"18.01","45.08","25.31","43.34","28.80","88.63"
"2025-07-01",8,"17.99","44.33","24.80","42.40","29.04","88.33"
"2025-07-01",9,"17.74","37.29","26.27","44.89","29.70","85.47"
"2025-07-01",10,"17.85","34.92","27.57","47.14","30.38","83.50"
"2025-07-01",11,"21.05","33.48","33.52","57.88","30.93","81.81"
"2025-07-01",12,"18.17","36.33","32.10","55.50","30.85","81.56"
"2025-07-01",13,"17.63","30.27","31.41","54.15","31.75","78.97"
"2025-07-01",14,"16.73","30.75","30.43","52.25","31.91","77.72"
"2025-07-01",15,"15.46","32.45","29.78","50.76","31.76","77.25"
"2025-07-01",16,"15.36","38.76","29.00","49.52","31.39","78.46"
"2025-07-01",17,"15.21","33.83","32.09","54.73","31.95","76.50"
"2025-07-01",18,"15.23","45.44","32.34","55.59","30.93","80.60"
"2025-07-01",19,"15.31","54.28","31.01","53.92","30.08","84.66"
"2025-07-01",20,"15.39","54.28","29.76","51.89","29.80","86.17"
"2025-07-01",21,"15.42","52.60","29.59","51.89","29.33","88.22"
"2025-07-01",22,"20.77","69.10","30.88","53.34","28.45","92.62"
"2025-07-01",23,"23.18","54.55","30.92","52.73","28.73","92.13"
"2025-07-02",0,"23.12","46.83","27.60","47.06","28.73","91.76"
"2025-07-02",1,"21.09","42.26","27.55","46.94","28.58","90.35"
"2025-07-02",2,"21.25","43.31","26.97","46.42","28.66","90.81"
"2025-07-02",3,"20.65","40.01","27.46","46.99","28.78","90.39"
"2025-07-02",4,"20.57","41.09","26.73","45.76","28.84","90.74"
"2025-07-02",5,"20.66","44.63","26.27","45.47","28.79","91.06"
"2025-07-02",6,"19.97","43.96","28.96","50.24","28.88","90.93"
"2025-07-02",7,"18.46","42.97","29.59","50.93","28.99","90.91"
"2025-07-02",8,"18.91","46.25","32.73","56.30","29.12","91.37"
"2025-07-02",9,"17.31","43.61","29.94","50.77","28.81","91.59"
"2025-07-02",10,"17.95","32.27","25.18","42.47","30.15","87.41"
"2025-07-02",11,"20.16","23.11","29.06","49.16","31.56","82.48"
"2025-07-02",12,"21.09","22.36","26.21","44.34","31.96","81.03"
"2025-07-02",13,"20.22","21.55","24.24","40.92","32.36","78.02"
"2025-07-02",14,"20.72","27.38","25.83","43.64","32.33","77.33"
"2025-07-02",15,"18.62","40.46","21.43","36.02","31.45","80.90"
"2025-07-02",16,"18.47","32.22","24.18","40.80","32.49","77.87"
"2025-07-02",17,"20.17","16.12","24.67","41.63","33.38","73.47"
"2025-07-02",18,"18.96","54.51","25.77","43.57","30.81","82.61"
"2025-07-02",19,"17.94","61.74","35.12","60.17","30.10","86.10"
"2025-07-02",20,"17.68","53.99","36.61","62.87","29.80","86.65"
"2025-07-02",21,"17.61","50.87","36.90","63.67","29.57","87.45"
"2025-07-02",22,"18.50","47.88","28.77","49.73","29.61","87.58"
"2025-07-02",23,"18.62","48.39","28.52","49.56","29.75","87.24"
"2025-07-03",0,"17.84","44.04","25.19","43.81","29.71","87.55"
"2025-07-03",1,"17.76","44.50","22.12","38.25","29.55","88.51"
"2025-07-03",2,"17.58","43.60","20.39","35.17","29.31","89.36"
"2025-07-03",3,"15.47","40.48","21.04","36.12","29.61","88.00"
"2025-07-03",4,"16.07","42.84","22.25","38.60","29.56","88.33"
"2025-07-03",5,"17.86","48.92","25.86","44.44","29.14","90.67"
"2025-07-03",6,"18.69","45.34","27.38","46.78","29.03","91.11"
"2025-07-03",7,"18.85","41.28","24.50","41.67","29.23","90.25"
"2025-07-03",8,"20.22","42.30","26.69","45.10","29.65","89.44"
"2025-07-03",9,"20.08","36.84","31.16","53.00","30.07","87.31"
"2025-07-03",10,"19.86","40.74","34.80","59.98","29.86","87.17"
"2025-07-03",11,"20.60","43.01","37.56","65.67","30.38","84.60"
"2025-07-03",12,"19.61","27.82","35.62","62.07","31.88","79.11"
"2025-07-03",13,"19.52","33.01","33.31","57.63","31.92","79.60"
"2025-07-03",14,"20.39","39.60","29.94","51.45","31.66","81.20"
"2025-07-03",15,"19.52","37.55","27.62","47.21","31.65","81.45"
"2025-07-03",16,"17.73","48.48","26.72","45.76","30.62","83.91"
"2025-07-03",17,"15.98","44.60","24.77","42.44","30.36","84.30"
"2025-07-03",18,"15.70","42.50","25.48","43.88","30.81","83.01"
"2025-07-03",19,"15.37","45.52","26.48","45.97","30.21","85.16"
"2025-07-03",20,"15.39","51.23","33.09","58.00","29.87","87.82"
"2025-07-03",21,"15.10","48.85","36.06","63.67","29.91","88.34"
"2025-07-03",22,"15.39","42.44","26.52","45.91","29.76","87.21"
"2025-07-03",23,"15.40","45.45","28.05","47.97","29.51","88.59"
"2025-07-04",0,"15.42","41.86","28.45","48.45","29.44","88.16"
"2025-07-04",1,"15.23","42.78","24.69","42.08","29.24","88.18"
"2025-07-04",2,"15.46","45.34","27.08","46.62","29.18","88.30"
"2025-07-04",3,"15.43","44.24","29.16","50.37","29.04","88.24"
"2025-07-04",4,"16.80","45.81","37.62","65.30","28.91","88.52"
"2025-07-04",5,"15.64","46.99","29.59","51.73","28.89","88.53"
"2025-07-04",6,"17.65","49.81","32.51","57.14","28.86","88.86"
"2025-07-04",7,"17.99","45.98","36.65","63.96","29.07","87.94"
"2025-07-04",8,"20.00","43.23","34.62","60.61","29.59","86.14"
"2025-07-04",9,"21.21","42.87","31.38","54.72","30.13","84.69"
"2025-07-04",10,"21.75","43.39","31.07","53.97","30.39","84.54"
"2025-07-04",11,"21.43","45.46","30.40","53.13","30.32","84.76"
"2025-07-04",12,"19.55","43.63","26.87","46.62","30.15","85.02"
"2025-07-04",13,"19.20","35.36","27.25","47.64","30.99","81.70"
"2025-07-04",14,"19.02","37.81","28.68","50.16","31.01","81.16"
"2025-07-04",15,"18.70","41.60","27.09","47.17","30.74","82.61"
"2025-07-04",16,"17.78","43.31","28.63","49.75","30.56","83.67"
"2025-07-04",17,"18.38","48.78","30.22","52.60","30.56","85.25"
"2025-07-04",18,"19.07","50.70","30.32","53.15","30.48","85.69"
"2025-07-04",19,"19.28","53.17","34.95","60.72","29.95","87.04"
