"date","hour","so2","no2","pm25","pm10","ext_temp","ext_humi"
"2025-07-01",0,"12.65","66.44","34.25","58.66","29.01","91.53"
"2025-07-01",1,"11.52","61.94","30.88","52.56","28.82","91.63"
"2025-07-01",2,"15.43","49.22","28.48","48.20","28.69","91.69"
"2025-07-01",3,"17.89","45.76","28.07","47.56","28.59","92.08"
"2025-07-01",4,"15.66","46.12","25.28","42.58","28.59","92.14"
"2025-07-01",5,"12.31","42.19","24.69","41.42","28.47","92.25"
"2025-07-01",6,"13.15","52.85","27.53","46.59","28.63","92.08"
"2025-07-01",7,"15.71","37.52","27.86","47.15","30.30","86.43"
"2025-07-01",8,"17.77","26.61","22.33","37.30","32.09","80.23"
"2025-07-01",9,"14.24","26.71","22.08","36.92","32.92","76.32"
"2025-07-01",10,"18.04","18.45","23.52","39.34","34.26","70.89"
"2025-07-01",11,"15.87","33.32","26.05","43.98","33.78","72.80"
"2025-07-01",12,"15.87","112.07","27.14","45.62","31.97","80.80"
"2025-07-01",13,"18.46","39.54","27.29","46.09","33.04","75.71"
"2025-07-01",14,"13.19","80.31","27.36","46.05","31.13","83.20"
"2025-07-01",15,"17.66","72.80","27.47","46.25","31.60","82.63"
"2025-07-01",16,"16.69","42.13","28.14","47.57","32.53","79.97"
"2025-07-02",9,"17.71","10.38","20.85","34.99","33.99","71.89"
"2025-07-02",10,"10.73","20.07","20.68","34.66","33.77","72.10"
"2025-07-02",11,"14.39","13.46","20.45","34.01","36.41","63.28"
"2025-07-02",12,"14.93","19.66","21.05","35.28","36.53","63.15"
"2025-07-02",13,"16.86","32.23","20.38","34.18","35.30","66.85"
"2025-07-02",14,"19.00","27.68","19.75","32.92","36.08","63.23"
"2025-07-02",15,"6.46","43.27","20.23","33.83","35.32","65.27"
"2025-07-02",16,"12.94","59.78","19.23","32.33","34.08","67.83"
"2025-07-02",17,"12.27","69.50","19.41","32.56","33.75","71.03"
"2025-07-02",18,"15.91","168.27","17.75","29.34","29.92","86.53"
"2025-07-02",19,"19.14","113.46","19.05","32.16","29.68","86.94"
"2025-07-02",20,"18.32","114.15","20.98","35.55","29.70","87.73"
"2025-07-02",21,"17.44","96.39","21.70","36.87","29.61","88.53"
"2025-07-02",22,"18.57","77.22","23.03","39.85","29.80","88.13"
"2025-07-02",23,"18.54","55.17","24.42","42.12","29.70","89.09"
"2025-07-03",0,"13.85","44.92","23.86","41.08","29.55","89.85"
"2025-07-03",1,"14.90","49.01","22.12","37.66","29.41","89.91"
"2025-07-03",2,"17.99","37.96","21.96","37.22","29.13","90.65"
"2025-07-03",3,"17.95","38.30","26.83","45.71","29.01","91.07"
"2025-07-03",4,"17.40","47.78","24.93","42.17","28.93","91.61"
"2025-07-03",5,"15.35","50.49","25.02","42.38","28.94","91.75"
"2025-07-03",6,"15.61","48.84","26.20","44.35","28.98","92.14"
"2025-07-03",7,"17.75","39.99","27.11","45.69","30.12","88.31"
"2025-07-03",8,"19.56","22.54","22.81","38.22","33.73","75.11"
"2025-07-03",9,"19.47","4.32","21.38","35.51","36.63","64.82"
"2025-07-03",10,"12.37","22.33","21.18","35.42","35.52","67.02"
"2025-07-03",11,,"48.24","19.66","32.49","33.27","74.47"
"2025-07-03",15,"9.56","58.79","21.80","37.08","33.35","72.48"
"2025-07-03",16,"20.83","262.07","27.17","46.04","29.17","89.57"
"2025-07-03",17,"23.36","199.10","25.95","44.07","30.07","90.15"
"2025-07-03",18,"23.59","145.41","24.58","40.94","30.11","92.11"
"2025-07-03",19,"22.23","105.68","32.59","55.32","30.17","91.31"
"2025-07-03",20,"14.42","50.47","28.21","48.37","30.02","88.26"
"2025-07-03",21,"15.54","45.88","24.80","41.87","29.87","87.92"
"2025-07-03",22,"16.94","50.12","25.78","43.66","29.84","88.03"
"2025-07-03",23,"16.76","46.67","24.61","41.65","29.87","87.52"
"2025-07-04",0,"11.93","58.54","27.45","46.84","29.74","88.34"
"2025-07-04",1,"15.78","59.27","29.37","50.46","29.24","89.32"
"2025-07-04",2,"13.14","49.36","28.90","49.07","29.75","89.39"
"2025-07-04",3,"15.35","45.72","25.75","43.90","29.58","88.93"
"2025-07-04",4,"12.64","51.57","26.83","48.35","29.35","89.72"
"2025-07-04",5,"15.56","54.20","26.34","44.38","29.10","91.18"
"2025-07-04",6,"15.66","50.63","27.34","46.45","29.23","90.91"
"2025-07-04",7,"17.77","39.67","27.84","47.09","30.05","87.95"
"2025-07-04",8,"16.84","32.22","32.60","55.20","31.56","82.48"
"2025-07-04",9,"19.16","25.77","34.32","58.43","33.51","76.58"
"2025-07-04",10,"18.74","22.95","30.83","52.38","33.20","76.59"
"2025-07-04",11,"11.81","51.69","32.26","54.77","32.11","80.02"
"2025-07-04",12,"17.15","85.34","37.52","63.66","31.29","85.56"
"2025-07-04",13,"20.59","93.97","35.10","59.16","29.66","91.72"
"2025-07-04",14,"17.76","95.53","29.49","49.49","28.67","93.06"
"2025-07-04",15,"17.26","95.18","29.01","48.61","28.05","94.44"
