"date","hour","so2","no2","pm25","pm10","ext_temp","ext_humi"
"2025-07-01",0,"1.00","4.77","50.12","87.92","28.95","86.20"
"2025-07-01",1,"1.08","4.50","48.52","84.76","28.80","86.91"
"2025-07-01",2,"1.07","4.78","43.01","74.92","28.66","88.04"
"2025-07-01",3,"1.12","4.78","40.04","69.39","28.30","88.99"
"2025-07-01",4,"0.92","4.62","37.45","64.80","28.22","88.60"
"2025-07-01",5,"0.66","4.79","33.70","58.43","28.29","88.62"
"2025-07-01",6,"0.48","4.50","34.46","59.87","28.34","88.38"
"2025-07-01",7,"1.03","4.96","35.68","62.20","28.95","87.03"
"2025-07-01",8,"0.81","5.03","35.50","61.80","29.46","85.21"
"2025-07-01",9,"1.02","5.28","33.95","58.90","30.78","81.58"
"2025-07-01",10,"1.34","5.63","42.83","75.02","31.14","80.38"
"2025-07-01",11,"1.29","5.72","38.45","67.11","31.85","78.81"
"2025-07-01",12,"1.86","7.14","44.82","78.03","31.00","82.45"
"2025-07-01",13,"2.01","7.59","44.87","78.83","32.11","79.48"
"2025-07-01",14,"1.85","7.24","48.96","85.88","33.09","75.26"
"2025-07-01",15,"2.48","6.81","47.26","82.09","30.88","84.00"
"2025-07-01",16,"2.21","5.93","46.72","81.38","30.45","85.28"
"2025-07-01",17,"1.45","5.24","48.51","85.12","30.24","83.55"
"2025-07-01",18,"1.56","5.77","52.45","93.27","30.30","84.49"
"2025-07-01",19,"1.18","5.17","50.43","89.19","30.44","82.64"
"2025-07-01",20,"1.38","5.62","50.09","88.55","30.10","83.29"
"2025-07-01",21,"0.81","5.21","50.02","88.31","29.89","83.25"
"2025-07-01",22,"1.19","5.32","47.75","84.41","29.68","83.77"
"2025-07-01",23,"0.90","4.82","42.26","74.50","29.44","84.35"
"2025-07-02",0,"1.51","5.50","42.92","75.62","29.26","85.26"
"2025-07-02",1,"1.03","4.92","39.55","69.52","29.10","86.05"
"2025-07-02",2,"1.02","5.11","40.28","70.44","28.84","87.01"
"2025-07-02",3,"1.12","5.23","37.77","66.16","28.82","87.60"
"2025-07-02",4,"1.31","5.07","32.60","57.06","28.73","87.76"
"2025-07-02",5,"1.13","4.91","28.69","50.61","28.64","87.88"
"2025-07-02",6,"0.83","5.19","29.20","51.22","28.71","87.90"
"2025-07-02",7,"1.08","5.02","31.39","55.28","29.09","87.32"
"2025-07-02",8,"1.04","5.51","28.41","49.99","30.00","84.47"
"2025-07-02",9,"1.21","5.76","27.00","47.56","31.60","79.32"
"2025-07-02",10,"2.04","6.52","28.32","49.46","32.09","76.83"
"2025-07-02",11,"1.79","6.21","25.05","43.67","33.34","75.38"
"2025-07-02",12,"2.17","7.00","25.77","45.60","33.40","75.05"
"2025-07-02",13,"2.40","9.64","27.37","48.26","32.94","75.54"
"2025-07-02",14,"2.70","9.40","27.81","49.06","33.91","73.56"
"2025-07-02",15,"2.60","9.02","25.00","43.87","33.58","74.28"
"2025-07-02",16,"3.52","8.27","23.20","40.78","33.82","73.65"
"2025-07-02",17,"3.09","7.54","24.99","43.64","32.03","78.32"
"2025-07-02",18,"2.07","6.71","22.29","39.78","30.78","81.04"
"2025-07-02",19,"1.91","6.24","23.51","42.02","30.10","81.67"
"2025-07-02",20,"1.75","6.46","28.11","50.88","29.92","83.27"
"2025-07-02",21,"1.65","6.95","30.21","53.63","29.70","85.02"
"2025-07-02",22,"1.67","6.36","32.31","58.72","29.71","84.28"
"2025-07-02",23,"1.44","5.67","27.55","49.05","29.62","84.13"
"2025-07-03",0,"1.58","6.03","27.56","48.60","29.52","84.91"
"2025-07-03",1,"1.18","5.94","31.50","55.54","29.35","85.89"
"2025-07-03",2,"1.25","5.40","35.46","62.02","29.18","86.67"
"2025-07-03",3,"1.02","5.42","37.99","65.89","29.04","87.33"
"2025-07-03",4,"1.01","5.39","39.95","69.33","29.01","87.72"
"2025-07-03",5,"1.13","4.99","40.34","70.05","29.03","87.59"
"2025-07-03",6,"1.22","5.18","43.22","75.19","28.98","88.03"
"2025-07-03",7,"1.22","5.26","36.08","62.93","29.20","87.42"
"2025-07-03",8,"1.55","5.21","30.57","53.31","30.46","83.88"
"2025-07-03",9,"1.46","5.47","30.97","53.84","31.03","82.17"
"2025-07-03",10,"1.48","6.04","29.47","51.58","32.14","79.34"
"2025-07-03",11,"2.08","6.50","30.86","54.75","32.77","77.44"
"2025-07-03",12,"3.01","13.80","29.21","52.74","32.83","76.72"
"2025-07-03",13,"2.94","14.22","25.36","45.47","35.52","70.69"
"2025-07-03",14,"3.44","7.76","27.57","50.33","35.45","70.73"
"2025-07-03",15,"3.92","7.61","41.28","74.87","33.72","73.69"
"2025-07-03",16,"2.26","6.37","48.56","86.42","32.57","76.33"
"2025-07-03",17,"2.23","5.82","52.01","94.53","31.48","79.48"
"2025-07-03",18,"1.81","5.51","51.71","93.34","31.24","80.91"
"2025-07-03",19,"1.63","5.53","42.05","75.64","30.62","82.48"
"2025-07-03",20,"1.39","5.00","41.45","74.43","30.09","83.53"
"2025-07-03",21,"1.26","4.95","43.80","79.08","30.05","83.97"
"2025-07-03",22,"1.19","4.70","39.32","70.47","29.94","84.37"
"2025-07-03",23,"1.02","4.94","40.05","71.24","29.81","85.07"
"2025-07-04",0,"1.09","4.88","43.78","77.51","29.70","85.72"
"2025-07-04",1,"1.25","4.75","48.54","85.53","29.74","86.01"
"2025-07-04",2,"1.39","4.79","42.03","73.68","29.61","85.85"
"2025-07-04",3,"1.17","4.88","36.44","63.66","29.29","86.03"
"2025-07-04",4,"1.23","4.90","40.60","71.80","29.18","86.25"
"2025-07-04",5,"1.11","5.04","39.91","70.98","29.10","86.61"
"2025-07-04",6,"1.27","5.36","40.94","73.23","29.04","86.63"
"2025-07-04",7,"1.19","5.41","42.15","76.39","29.31","85.86"
"2025-07-04",8,"1.19","5.42","46.05","82.65","30.01","84.05"
"2025-07-04",9,"1.63","6.10","53.67","97.94","30.82","82.47"
"2025-07-04",10,"2.03","6.42","56.76","104.55","31.58","79.83"
"2025-07-04",11,"1.92","6.28","61.54","112.58","31.87","78.65"
"2025-07-04",12,"2.71","6.76","63.72","114.96","31.06","84.14"
"2025-07-04",13,"2.10","7.04","65.00","114.79","31.01","84.42"
"2025-07-04",14,"1.64","6.53","65.71","114.88","30.57","84.75"
"2025-07-04",15,"1.92","6.94","61.83","109.55","31.17","81.97"
"2025-07-04",16,"1.80","6.05","64.73","115.11","30.42","83.46"
"2025-07-04",17,"2.00","5.64","54.02","95.89","29.69","86.59"
"2025-07-04",18,"2.05","5.71","51.85","91.12","29.28","87.80"
"2025-07-04",19,"1.33","6.16","44.38","78.57","29.23","88.01"
"2025-07-04",20,"1.53","6.07","46.35","82.27","29.09","88.59"
"2025-07-04",21,"1.63","6.26","50.04","89.45","29.08","87.86"
"2025-07-04",22,"1.15","6.56","53.62","94.33","28.59","86.15"
"2025-07-04",23,"1.30","5.84","45.19","80.19","28.45","85.67"
"2025-07-05",0,"1.23","5.51","49.05","87.06","28.57","85.19"
"2025-07-05",1,"1.06","4.54","38.93","69.41","28.63","85.82"
"2025-07-05",2,"0.98","4.59","36.45","64.52","28.45","86.96"
"2025-07-05",3,"0.74","5.58","42.48","74.42","28.39","86.96"
"2025-07-05",4,"1.02","5.33","39.41","69.23","28.39","87.17"
"2025-07-05",5,"0.85","5.08","43.84","77.19","28.43","87.32"
"2025-07-05",6,"0.92","4.96","45.46","80.69","28.45","87.23"
"2025-07-05",7,"0.70","4.70","48.60","86.71","28.61","86.98"
"2025-07-05",8,"0.75","5.48","56.13","100.22","29.41","85.31"
"2025-07-05",9,"0.87","5.58","61.70","109.89","29.85","84.09"
"2025-07-05",10,"1.34","7.36","59.26","105.43","30.84","81.38"
"2025-07-05",11,"1.66","7.52","58.70","105.72","32.23","77.47"
"2025-07-05",12,"1.96","6.96","64.42","115.52","32.56","75.85"
"2025-07-05",13,"2.36","11.39","58.06","104.54","33.57","73.44"
"2025-07-05",14,"2.88","7.42","52.02","97.57","33.05","74.13"
"2025-07-05",15,"3.13","7.13","52.97","95.36","32.60","75.47"
"2025-07-05",16,"3.00","7.47","62.49","111.08","32.55","76.05"
"2025-07-05",17,"2.40","6.58","47.91","86.69","32.40","75.16"
"2025-07-05",18,"2.50","6.30","46.80","86.83","31.52","75.92"
"2025-07-05",19,"2.22","6.48","52.17","94.68","30.76","79.78"
"2025-07-05",20,"2.19","6.25","48.12","86.60","30.55","81.51"
"2025-07-05",21,"1.68","5.75","44.06","81.03","30.20","81.78"
"2025-07-05",22,"1.75","6.08","46.08","87.19","30.08","83.16"
"2025-07-05",23,"1.87","5.90","32.96","57.92","29.64","84.47"
"2025-07-06",0,"1.49","5.60","32.27","62.71","40.70","85.23"
"2025-07-06",1,"1.25","5.66","33.38","58.87","29.07","85.46"
"2025-07-06",2,"1.36","5.32","34.94","61.74","28.88","85.57"
"2025-07-06",3,"1.25","5.29","36.51","64.69","28.82","85.89"
"2025-07-06",4,"0.97","5.09","37.45","66.14","28.71","86.24"
"2025-07-06",5,"1.13","5.20","36.95","65.42","28.64","86.30"
"2025-07-06",6,"0.99","5.60","33.91","60.32","28.76","85.70"
"2025-07-06",7,"1.08","5.52","35.03","63.74","28.91","85.38"
"2025-07-06",8,"1.51","5.89","36.76","66.19","29.32","84.25"
"2025-07-06",9,"1.27","6.10","42.81","76.26","30.18","82.16"
"2025-07-06",10,"2.17","6.56","46.43","82.65","31.15","79.71"
"2025-07-06",11,"1.91","6.53","44.56","79.12","31.19","79.52"
"2025-07-06",12,"2.08","6.71","46.32","80.86","31.23","80.56"
"2025-07-06",13,"1.88","6.71","46.88","82.20","30.52","83.12"
"2025-07-06",14,"1.72","6.68","44.75","77.55","30.22","84.45"
"2025-07-06",15,"1.45","6.71","43.14","74.89","30.69","82.54"
"2025-07-06",16,"1.63","5.80","38.51","66.56","30.04","83.28"
"2025-07-06",17,"0.96","5.41","38.98","66.97","29.90","83.50"
"2025-07-06",18,"1.63","5.96","37.81","64.82","30.02","82.82"
"2025-07-06",19,"1.41","5.85","35.87","61.65","29.53","83.68"
"2025-07-06",20,"1.19","6.11","39.96","69.60","29.36","84.70"
"2025-07-06",21,"1.31","5.69","36.92","63.78","29.27","85.00"
"2025-07-06",22,"1.21","5.59","39.80","69.38","29.33","85.16"
"2025-07-06",23,"1.10","5.79","37.34","64.75","29.17","85.81"
"2025-07-07",0,"1.09","5.71","37.86","65.36","28.90","87.11"
"2025-07-07",1,"1.04","5.78","35.64","61.51","28.72","87.52"
"2025-07-07",2,"1.02","4.94","32.66","56.79","28.71","86.88"
"2025-07-07",3,"1.02","4.59","31.50","55.81","28.63","85.84"
"2025-07-07",4,"1.25","4.93","32.92","58.48","28.59","85.58"
"2025-07-07",5,"1.17","4.87","30.94","57.32","28.37","86.50"
"2025-07-07",6,"1.19","4.70","29.73","56.44","28.11","86.89"
"2025-07-07",7,"0.85","4.17","31.22","54.13","28.48","85.89"
"2025-07-07",8,"1.14","4.91","29.48","50.81","28.59","85.83"
"2025-07-07",9,"1.32","5.29","28.97","50.47","28.76","86.19"
"2025-07-07",10,"1.45","5.31","34.53","59.84","28.73","86.66"
"2025-07-07",11,"2.00","5.53","36.66","63.11","28.84","87.21"
"2025-07-07",12,"1.59","5.24","36.22","62.09","29.09","86.56"
"2025-07-07",13,"1.86","5.66","41.68","72.01","29.30","86.63"
"2025-07-07",14,"2.13","6.11","46.83","81.34","29.69","86.47"
"2025-07-07",15,"1.96","5.96","50.59","87.80","29.83","86.59"
"2025-07-07",16,"1.93","5.83","47.29","83.88","29.85","86.44"
"2025-07-07",17,"2.00","5.78","53.25","95.52","29.39","87.57"
"2025-07-07",18,"1.67","5.34","49.31","87.50","29.00","88.16"
"2025-07-07",19,"1.66","5.52","30.62","53.51","28.31","87.53"
"2025-07-07",20,"1.39","5.16","34.16","62.92","28.01","87.58"
"2025-07-07",21,"1.35","5.39","32.34","56.94","27.91","87.71"
"2025-07-07",22,"1.24","4.99","31.64","55.27","27.86","87.94"
"2025-07-07",23,"1.43","5.83","32.12","55.57","27.92","87.82"
"2025-07-08",0,"1.18","5.20","37.58","65.06","28.03","88.03"
"2025-07-08",1,"0.95","5.59","40.10","69.77","28.04","88.36"
"2025-07-08",2,"1.62","5.70","38.04","71.07","36.21","89.14"
"2025-07-08",3,"1.77","5.51","33.75","58.98","27.85","89.50"
"2025-07-08",4,"1.57","5.20","32.87","56.74","27.78","89.72"
"2025-07-08",5,"1.38","5.07","30.26","53.05","27.29","90.27"
"2025-07-08",6,"1.50","5.26","34.28","60.59","26.68","91.57"
"2025-07-08",7,"1.60","5.10","25.14","44.38","26.69","91.33"
"2025-07-08",8,"1.62","5.67","37.30","64.90","26.43","92.82"
"2025-07-08",9,"1.33","5.09","31.36","56.21","26.12","95.51"
"2025-07-08",10,"1.27","5.21","31.36","54.79","26.42","95.76"
"2025-07-08",11,"1.32","5.50","35.85","63.64","26.56","95.52"
"2025-07-08",12,"1.36","4.97","37.11","65.53","26.31","95.65"
"2025-07-08",13,"1.69","5.57","33.11","58.66","26.35","95.69"
"2025-07-08",14,"1.64","5.64","44.64","78.28","26.62","95.59"
