"date","hour","so2","no2","pm25","pm10","ext_temp","ext_humi"
"2025-07-01",0,"1.04","0.74","30.64","51.94","28.30","90.49"
"2025-07-01",1,"1.05","0.58","30.03","50.83","28.30","90.63"
"2025-07-01",2,"1.00","0.59","25.58","43.05","27.73","91.52"
"2025-07-01",3,"1.27","0.63","26.70","45.18","27.61","92.49"
"2025-07-01",4,"1.13","0.74","24.18","40.46","27.66","92.15"
"2025-07-01",5,"1.09","0.51","25.82","44.06","27.58","92.58"
"2025-07-01",6,"1.35","0.50","23.16","38.81","27.77","92.25"
"2025-07-01",7,"1.25","1.10","23.86","40.07","28.73","90.79"
"2025-07-01",8,"2.34","2.62","23.40","39.22","30.03","87.42"
"2025-07-01",9,"4.93","4.70","23.23","38.80","30.05","86.15"
"2025-07-01",10,"5.66","2.91","25.68","42.94","31.45","83.49"
"2025-07-01",11,"9.45","6.97","26.14","44.02","33.00","77.70"
"2025-07-01",12,"2.38","2.69","27.32","46.38","32.88","77.63"
"2025-07-01",13,"5.50","4.75","27.99","47.55","34.33","72.52"
"2025-07-01",14,"5.68","5.84","28.59","48.60","34.52","70.95"
"2025-07-01",15,"4.69","5.26","28.06","47.74","33.87","72.81"
"2025-07-01",16,"2.71","2.37","28.88","49.25","32.27","79.14"
"2025-07-01",17,"7.17","6.04","31.52","53.31","28.93","90.56"
"2025-07-01",18,"5.91","7.10","36.79","63.60","29.79","89.99"
"2025-07-01",19,"5.48","3.94","35.49","61.08","29.57","88.78"
"2025-07-01",20,"3.91","3.25","34.60","59.55","29.27","88.62"
"2025-07-01",21,"2.42","1.92","32.18","54.91","29.16","87.57"
"2025-07-01",22,"1.38","2.55","31.82","54.26","28.86","89.04"
"2025-07-01",23,"1.23","1.70","29.26","49.67","28.74","88.55"
"2025-07-02",0,"1.15","1.48","28.04","47.73","28.54","89.27"
"2025-07-02",1,"1.15","0.85","25.86","43.66","28.36","89.92"
"2025-07-02",2,"1.07","0.64","26.39","44.73","28.10","91.14"
"2025-07-02",3,"1.03","0.70","27.80","47.44","27.93","91.84"
"2025-07-02",4,"1.34","1.86","25.95","43.87","27.88","92.23"
"2025-07-02",5,"1.18","1.84","23.19","39.02","27.77","92.36"
"2025-07-02",6,"1.33","0.72","22.88","38.59","27.89","92.20"
"2025-07-02",7,"1.13","0.92","21.52","36.05","28.73","90.92"
"2025-07-02",8,"2.02","2.02","21.48","35.97","30.37","86.97"
"2025-07-02",9,"4.85","4.62","20.97","35.17","31.14","84.08"
"2025-07-02",10,"9.38","5.74","18.55","30.65","32.58","77.33"
"2025-07-02",11,"8.77","7.32","19.21","31.93","33.82","74.26"
"2025-07-02",12,"4.63","5.27","19.64","33.07","33.76","73.91"
"2025-07-02",13,"1.83","4.61","20.45","34.53","33.82","74.16"
"2025-07-02",14,"5.62","6.65","20.23","34.05","35.13","69.51"
"2025-07-02",15,"2.24","2.50","18.84","31.73","33.45","74.15"
"2025-07-02",16,"3.13","2.88","18.28","30.69","34.24","71.73"
"2025-07-02",17,"4.10","2.74","20.11","34.09","31.39","82.67"
"2025-07-02",18,"8.10","6.33","18.38","30.41","28.13","91.61"
"2025-07-02",19,"5.78","7.05","20.43","34.16","28.01","92.26"
"2025-07-02",20,"4.29","5.76","23.30","39.56","28.16","92.33"
"2025-07-02",21,"3.57","3.66","23.70","40.13","28.28","92.10"
"2025-07-02",22,"2.49","2.28","21.77","36.84","28.25","92.25"
"2025-07-02",23,"1.50","1.29","20.26","33.98","28.28","91.81"
"2025-07-03",0,"1.32","1.47","20.59","34.54","28.24","91.87"
"2025-07-03",1,"1.15","1.45","22.39","38.05","28.14","92.11"
"2025-07-03",2,"1.31","1.14","25.06","42.35","28.02","92.40"
"2025-07-03",3,"1.23","1.10","26.93","45.80","27.97","92.55"
"2025-07-03",4,"1.22","0.57","27.05","45.89","28.00","92.60"
"2025-07-03",5,"1.22","1.48","26.52","44.76","27.95","92.68"
"2025-07-03",6,"1.44","1.32","25.50","42.95","28.00","92.73"
"2025-07-03",7,"1.33","1.07","24.26","40.89","28.76","91.63"
"2025-07-03",8,"7.06","5.32","22.10","37.19","31.16","85.72"
"2025-07-03",9,"6.07","5.01","21.41","35.82","30.91","85.66"
"2025-07-03",10,"3.00","1.74","21.57","35.88","31.54","84.47"
"2025-07-03",11,"8.36","6.82","18.64","31.21","32.59","78.16"
"2025-07-03",12,"4.89","4.58","18.81","31.51","33.43","75.78"
"2025-07-03",13,"5.30","5.87","18.59","31.25","35.46","70.00"
"2025-07-03",14,"7.09","6.89","21.66","36.71","35.52","70.86"
"2025-07-03",15,"2.00","2.06","27.15","46.34","33.68","75.62"
"2025-07-03",16,"2.85","1.44","28.05","47.97","31.80","79.55"
"2025-07-03",17,"4.86","3.94","30.30","51.78","30.61","85.31"
"2025-07-03",18,"3.14","2.70","28.20","48.10","30.27","86.35"
"2025-07-03",19,"2.48","2.29","26.17","44.48","29.67","88.14"
"2025-07-03",20,"2.26","2.27","25.96","45.21","29.24","89.09"
"2025-07-03",21,"1.75","1.74","27.30","47.84","29.25","89.41"
"2025-07-03",22,"1.54","1.36","27.46","48.17","29.09","89.75"
"2025-07-03",23,"1.36","1.42","27.37","46.92","28.93","90.20"
