"date","hour","so2","no2","pm25","pm10","ext_temp","ext_humi"
"2025-07-01",0,"1.43","2.16","32.15","56.62","28.20","92.64"
"2025-07-01",1,"1.28","1.40","30.65","53.85","28.14","92.81"
"2025-07-01",2,"1.33","1.68","25.84","44.32","27.64","93.69"
"2025-07-01",3,"1.28","1.19","26.65","46.82","27.57","94.18"
"2025-07-01",4,"1.19","1.67","23.84","41.98","27.58","93.92"
"2025-07-01",5,"1.15","1.76","24.47","42.91","27.57","94.34"
"2025-07-01",6,"1.13","1.57","23.40","41.03","27.83","93.85"
"2025-07-01",7,"0.99","1.69","23.26","40.68","29.05","91.02"
"2025-07-01",8,"0.69","3.03","23.07","40.29","30.40","87.14"
"2025-07-01",9,"0.90","3.69","23.02","39.66","30.44","86.15"
"2025-07-01",10,"1.37","4.98","24.04","41.15","32.83","78.77"
"2025-07-01",11,"1.51","7.17","25.58","44.48","32.88","78.30"
"2025-07-01",12,"1.35","2.99","27.57","47.64","33.82","76.57"
"2025-07-01",13,"0.97","5.52","28.15","48.95","35.11","70.99"
"2025-07-01",14,"0.90","6.03","29.11","50.78","34.91","70.55"
"2025-07-01",15,"1.42","3.38","29.69","52.10","33.64","76.21"
"2025-07-01",16,"2.08","1.54","30.39","53.24","32.49","80.59"
"2025-07-01",17,"2.38","1.40","30.68","53.66","31.36","84.68"
"2025-07-01",18,"2.26","2.10","31.04","54.34","31.19","84.98"
"2025-07-01",19,"2.13","1.65","31.36","54.85","30.48","85.67"
"2025-07-01",20,"1.91","1.64","33.02","58.23","29.86","88.03"
"2025-07-01",21,"1.89","2.21","32.17","56.90","29.40","89.09"
"2025-07-01",22,"1.69","1.04","30.17","53.24","29.08","88.51"
"2025-07-01",23,"1.65","1.67","30.08","53.20","28.78","90.61"
"2025-07-02",0,"1.67","1.79","28.56","50.65","28.55","91.18"
"2025-07-02",1,"1.63","1.43","27.07","48.03","28.33","91.69"
"2025-07-02",2,"1.57","1.71","26.61","47.28","28.11","92.49"
"2025-07-02",3,"1.46","1.69","27.16","48.31","28.00","93.13"
"2025-07-02",4,"1.43","2.06","25.04","44.27","27.94","93.58"
"2025-07-02",5,"1.39","1.77","22.50","39.65","27.88","93.80"
"2025-07-02",6,"1.38","1.42","21.65","38.39","28.07","93.61"
"2025-07-02",7,"1.23","1.40","21.83","38.60","28.82","91.83"
"2025-07-02",8,"1.04","2.61","20.95","36.78","30.00","88.58"
