"date","hour","so2","no2","pm25","pm10","ext_temp","ext_humi"
"2025-07-01",0,"7.21","5.33","22.98","38.90","27.98","93.66"
"2025-07-01",1,"7.17","5.23","22.52","38.20","27.83","94.49"
"2025-07-01",2,"7.31","4.92","21.15","35.80","27.82","94.42"
"2025-07-01",3,"7.38","4.87","20.70","34.98","27.75","94.59"
"2025-07-01",4,"7.38","4.34","20.72","35.11","27.68","94.79"
"2025-07-01",5,"7.32","5.46","21.15","35.85","27.64","95.31"
"2025-07-01",6,"7.36","4.41","22.74","38.59","27.77","95.22"
"2025-07-01",7,"7.25","4.68","22.61","38.11","28.13","93.03"
"2025-07-01",8,"8.33","17.58","24.53","41.37","30.05","85.91"
"2025-07-01",9,"7.87","21.64","26.77","45.28","31.04","83.01"
"2025-07-01",10,"7.24","40.24","25.34","42.80","32.55","77.22"
"2025-07-01",11,"7.17","40.13","25.79","43.52","32.78","76.89"
"2025-07-01",12,"6.71","31.11","21.79","36.35","29.99","85.78"
"2025-07-01",13,"9.12","15.44","20.50","34.14","29.18","88.97"
"2025-07-01",14,"9.98","14.78","24.33","40.93","32.74","80.36"
"2025-07-01",15,"6.52","22.45","24.81","41.77","32.07","82.48"
"2025-07-01",16,"6.21","12.28","17.86","29.61","27.70","94.14"
"2025-07-01",17,"9.02","13.05","17.77","29.47","29.19","90.14"
"2025-07-01",18,"7.79","17.86","17.32","28.67","30.46","86.19"
"2025-07-01",19,"7.77","6.74","17.55","29.11","28.91","90.64"
"2025-07-01",20,"7.81","5.58","19.16","32.13","28.30","93.36"
"2025-07-01",21,"8.83","5.46","22.50","37.82","28.00","95.21"
"2025-07-01",22,"8.89","4.04","18.85","31.67","28.14","94.47"
"2025-07-01",23,"8.87","4.51","19.96","34.04","28.22","94.27"
"2025-07-02",0,"8.54","4.70","19.30","32.73","28.14","93.88"
"2025-07-02",1,"8.28","4.06","18.22","30.72","27.93","94.19"
"2025-07-02",2,"8.13","5.34","18.15","30.69","27.71","95.30"
"2025-07-02",3,"8.07","4.45","18.38","31.08","27.71","95.55"
"2025-07-02",4,"8.27","5.02","18.81","31.66","27.65","95.86"
"2025-07-02",5,"8.00","4.73","19.48","32.74","27.53","96.22"
"2025-07-02",6,"7.70","4.12","19.71","33.31","27.64","96.29"
"2025-07-02",7,"8.35","5.14","20.74","35.10","28.35","94.31"
"2025-07-02",8,"9.54","11.33","22.94","38.67","29.80","89.46"
"2025-07-02",9,"8.86","14.43","23.61","39.65","29.73","88.90"
"2025-07-02",10,"8.31","22.77","22.57","38.04","30.35","87.32"
"2025-07-02",11,"8.88","24.65","21.86","36.76","31.08","84.42"
"2025-07-02",12,"9.62","21.31","24.38","41.17","33.02","78.08"
"2025-07-02",13,"7.89","8.64","25.55","43.92","34.30","72.22"
"2025-07-02",14,"6.52","4.89","23.96","40.35","35.22","67.74"
"2025-07-02",15,"6.35","5.73","23.27","39.39","35.22","68.67"
"2025-07-02",16,"8.38","5.17","22.95","38.83","34.67","69.80"
"2025-07-02",17,"8.75","4.33","22.02","37.32","33.55","73.27"
"2025-07-02",18,"10.43","1.36","20.79","35.31","32.58","77.41"
"2025-07-02",19,"10.17","0.52","21.71","37.20","30.93","81.79"
"2025-07-02",20,"9.62","0.91","22.16","38.34","30.23","84.89"
"2025-07-02",21,"8.69","1.04","21.67","37.50","29.95","86.83"
"2025-07-02",22,"8.17","0.72","20.28","34.76","29.54","88.89"
"2025-07-02",23,"7.97","0.48","19.79","33.71","29.00","90.67"
"2025-07-03",0,"8.18","0.39","20.07","34.02","28.86","91.32"
"2025-07-03",1,"8.17","0.41","18.55","31.09","28.68","92.02"
"2025-07-03",2,"8.16","0.47","18.20","30.52","28.31","93.12"
"2025-07-03",3,"8.00","0.42","18.98","31.87","28.18","93.92"
"2025-07-03",4,"7.57","0.42","18.43","31.00","28.13","93.91"
"2025-07-03",5,"7.37","0.54","19.52","33.02","27.94","94.02"
"2025-07-03",6,"7.46","0.56","21.68","37.08","27.92","93.63"
"2025-07-03",7,"6.71","0.73","22.09","37.89","28.64","90.42"
"2025-07-03",8,"5.75","0.83","21.93","37.20","28.41","91.07"
"2025-07-03",9,"6.26","0.52","21.50","36.07","28.09","93.71"
"2025-07-03",10,"7.12","0.93","21.61","36.04","29.04","90.57"
"2025-07-03",11,"7.49","1.50","22.73","38.15","30.73","84.74"
"2025-07-03",12,"7.20","1.98","22.72","37.96","30.59","84.94"
"2025-07-03",13,"9.83","1.60","18.94","31.54","32.61","77.89"
"2025-07-03",14,"7.92","3.60","21.15","35.45","33.47","75.53"
"2025-07-03",15,"7.32","4.59","21.35","35.88","32.82","77.43"
"2025-07-03",16,"9.29","1.57","18.87","31.76","30.55","82.83"
"2025-07-03",17,"9.93","1.86","18.52","31.01","31.32","81.58"
"2025-07-03",18,"10.33","0.87","19.96","33.95","31.21","82.62"
"2025-07-03",19,"8.96","0.74","18.77","31.73","29.60","86.42"
"2025-07-03",20,"7.91","0.55","18.62","31.23","28.29","91.63"
"2025-07-03",21,"7.28","0.75","18.48","30.63","27.86","94.00"
"2025-07-03",22,"7.25","0.92","18.25","30.34","27.81","94.81"
"2025-07-03",23,"7.24","0.61","19.38","32.31","28.06","94.70"
"2025-07-04",0,"7.55","0.38","21.51","36.15","28.11","94.59"
"2025-07-04",1,"8.06","0.42","22.03","37.20","28.14","94.55"
"2025-07-04",2,"8.12","0.45","21.62","36.50","28.00","95.03"
"2025-07-04",3,"7.89","0.50","21.13","35.78","27.90","95.41"
"2025-07-04",4,"8.47","1.00","19.88","33.60","27.59","96.13"
"2025-07-04",5,"7.85","0.48","19.67","33.26","27.43","96.42"
"2025-07-04",6,"8.37","0.62","19.50","32.91","28.12","94.08"
"2025-07-04",7,"8.00","1.38","20.63","34.91","28.53","92.30"
"2025-07-04",8,"8.45","0.63","21.63","36.55","28.79","91.71"
