"date","hour","so2","no2","pm25","pm10","ext_temp","ext_humi"
"2025-07-01",0,"2.97","17.67","43.00","76.20","28.32","85.18"
"2025-07-01",1,"2.71","17.64","42.37","75.19","28.31","85.38"
"2025-07-01",2,"2.71","17.19","36.80","64.97","28.08","85.86"
"2025-07-01",3,"2.72","18.18","34.45","60.87","27.90","86.97"
"2025-07-01",4,"2.71","17.68","30.32","53.96","27.95","86.61"
"2025-07-01",5,"2.71","18.05","30.34","54.14","27.98","86.90"
"2025-07-01",6,"2.73","16.77","29.86","53.33","28.13","86.79"
"2025-07-01",7,"3.72","14.66","29.19","52.29","29.05","83.04"
"2025-07-01",8,"4.54","12.44","29.30","52.43","30.03","79.21"
"2025-07-01",9,"4.98","13.22","30.91","54.97","30.17","78.43"
"2025-07-01",10,"5.45","12.64","33.64","59.13","31.32","75.35"
"2025-07-01",11,"6.04","10.52","34.87","61.17","31.41","74.27"
"2025-07-01",12,"4.67","18.07","37.37","65.44","30.43","78.57"
"2025-07-01",13,"6.10","7.68","36.55","64.06","32.85","68.67"
"2025-07-01",14,"5.96","9.14","38.88","68.23","32.42","68.55"
"2025-07-01",15,"5.80","11.73","38.59","67.83","32.06","70.70"
"2025-07-01",16,"4.97","16.39","39.78","70.17","31.88","74.46"
"2025-07-01",17,"4.60","23.92","44.16","78.28","29.62","83.80"
"2025-07-01",18,"4.58","23.01","46.26","81.55","29.30","85.81"
"2025-07-01",19,"4.06","16.33","44.17","78.08","29.41","83.03"
"2025-07-01",20,"3.60","15.63","41.94","74.33","29.24","82.25"
"2025-07-01",21,"3.70","15.07","42.47","75.36","28.94","83.19"
"2025-07-01",22,"4.06","14.92","43.46","77.04","28.81","82.52"
"2025-07-01",23,"3.96","16.89","41.93","74.35","28.54","83.82"
"2025-07-02",0,"3.63","16.57","38.56","68.65","28.36","84.49"
"2025-07-02",1,"3.55","17.43","36.17","64.47","28.25","84.98"
"2025-07-02",2,"3.14","19.15","34.44","61.51","28.19","85.34"
"2025-07-02",3,"2.74","20.19","35.13","62.74","28.22","86.06"
"2025-07-02",4,"2.72","17.72","33.50","60.33","28.15","86.70"
"2025-07-02",5,"2.71","13.25","32.91","59.32","28.04","87.05"
"2025-07-02",6,"2.81","16.78","30.39","54.51","28.07","87.14"
"2025-07-02",7,"3.58","16.22","27.28","49.14","29.11","83.46"
