"date","hour","so2","no2","pm25","pm10","ext_temp","ext_humi"
"2025-07-01",0,"1.21","6.34","35.39","65.03","28.26","90.85"
"2025-07-01",1,"1.15","5.00","33.76","59.99","27.43","90.78"
"2025-07-01",2,"1.09","5.33","34.98","64.12","27.15","91.04"
"2025-07-01",3,"1.06","4.63","31.21","58.55","27.13","91.10"
"2025-07-01",4,"1.14","4.17","37.97","72.34","27.32","91.51"
"2025-07-01",5,"1.16","4.11","35.76","66.39","27.50","91.52"
"2025-07-01",6,"1.05","5.17","37.94","69.24","27.52","91.29"
"2025-07-01",7,"1.16","4.72","37.60","68.20","27.74","90.98"
"2025-07-01",8,"1.02","5.04","33.26","59.62","28.03","90.42"
"2025-07-01",9,"1.02","4.61","28.33","49.85","28.98","87.81"
"2025-07-01",10,"1.02","4.94","30.05","54.15","29.04","87.05"
"2025-07-01",11,"1.24","8.05","48.73","87.46","28.20","88.75"
"2025-07-01",12,"1.57","9.06","46.38","84.81","28.76","89.11"
"2025-07-01",13,"1.17","7.60","37.64","66.09","30.90","85.29"
"2025-07-01",14,"1.38","6.80","37.88","67.39","30.89","86.29"
"2025-07-01",15,"1.28","5.59","31.22","55.17","30.70","84.86"
"2025-07-01",16,"1.37","5.76","38.05","67.45","32.49","79.88"
"2025-07-01",17,"1.35","6.53","29.64","53.34","31.09","83.81"
"2025-07-01",18,"1.36","7.60","32.17","61.13","30.27","85.59"
"2025-07-01",19,"1.53","7.20","32.80","63.01","29.77","87.47"
"2025-07-01",20,"1.67","6.24","36.05","66.87","29.59","88.34"
"2025-07-01",21,"1.45","6.23","38.19","71.89","29.42","88.52"
"2025-07-01",22,"1.28","7.97","38.93","73.76","29.00","88.94"
"2025-07-01",23,"1.21","7.62","46.78","85.08","28.98","88.19"
"2025-07-02",0,"1.02","7.95","37.39","68.40","28.65","88.00"
"2025-07-02",1,"1.02","7.49","35.67","64.59","28.32","88.08"
"2025-07-02",2,"1.08","7.46","39.45","71.26","28.25","88.20"
"2025-07-02",3,"1.28","5.17","35.30","63.26","28.19","88.86"
"2025-07-02",4,"1.28","4.96","38.44","69.97","28.14","89.38"
"2025-07-02",5,"1.28","4.78","35.62","65.97","28.12","89.72"
"2025-07-02",6,"1.28","4.65","35.80","66.18","28.10","89.59"
"2025-07-02",7,"1.28","4.41","33.45","61.07","27.19","87.53"
"2025-07-02",8,"1.16","4.29","33.41","59.38","29.00","87.43"
"2025-07-02",9,"1.20","4.20","33.28","60.34","29.86","85.82"
"2025-07-02",10,"1.29","3.77","29.16","53.50","31.09","82.99"
"2025-07-02",11,"1.26","3.74","30.34","54.97","31.97","79.70"
"2025-07-04",14,"2.81","5.12","45.17","85.98","31.16","84.75"
"2025-07-04",15,"2.67","6.09","45.30","83.43","30.20","87.34"
"2025-07-04",16,"2.24","5.39","42.27","78.22","28.81","89.08"
"2025-07-04",17,"2.37","6.27","61.92","112.48","27.95","90.74"
"2025-07-04",18,"2.14","7.87","49.38","90.42","28.04","90.86"
"2025-07-04",19,"2.12","4.47","53.81","94.51","28.32","89.14"
"2025-07-04",20,"2.16","4.93","48.87","85.48","28.25","88.51"
"2025-07-04",21,"2.55","5.16","60.40","111.72","28.27","88.92"
