"date","hour","so2","no2","pm25","pm10","ext_temp","ext_humi"
"2025-07-01",0,"3.85","2.57","39.07","67.16","28.51","91.45"
"2025-07-01",1,"3.85","2.66","35.67","61.30","28.52","91.95"
"2025-07-01",2,"3.64","2.46","32.85","56.32","28.46","92.19"
"2025-07-01",3,"3.43","2.59","29.04","49.70","28.15","92.39"
"2025-07-01",4,"3.62","2.61","29.24","50.12","28.06","92.75"
"2025-07-01",5,"3.35","2.41","27.16","46.48","28.03","92.70"
"2025-07-01",6,"3.38","2.26","27.90","47.79","28.25","92.51"
"2025-07-01",7,"3.94","2.04","30.24","51.66","29.60","89.29"
"2025-07-01",8,"4.29","1.58","27.30","46.39","30.39","86.25"
"2025-07-01",9,"5.31","0.71","25.94","43.50","32.33","78.75"
"2025-07-01",10,"5.75","0.38","27.20","45.55","34.16","72.43"
"2025-07-01",11,"5.60","0.80","31.23","52.66","32.29","79.33"
"2025-07-01",12,"5.25","1.98","31.41","52.84","33.63","76.12"
"2025-07-01",13,"6.12","0.42","33.80","56.96","34.85","71.25"
"2025-07-01",14,"5.95","0.42","35.03","58.98","34.57","70.42"
"2025-07-01",15,"5.13","1.63","34.78","58.63","33.20","78.57"
"2025-07-01",16,"4.83","2.21","34.38","58.39","32.40","80.28"
"2025-07-01",17,"4.58","2.19","36.40","62.10","32.23","79.25"
"2025-07-01",18,"4.37","2.49","38.60","65.95","31.43","81.66"
"2025-07-01",19,"4.00","3.03","39.59","68.00","30.79","81.83"
"2025-07-01",20,"3.63","2.91","38.54","66.67","29.97","84.51"
"2025-07-01",21,"3.57","3.18","40.09","69.21","29.66","86.04"
"2025-07-01",22,"3.33","3.32","37.02","63.78","29.44","86.40"
"2025-07-01",23,"3.38","2.81","38.46","66.31","29.20","88.97"
"2025-07-02",0,"3.57","2.97","37.26","64.13","28.96","89.66"
"2025-07-02",1,"3.59","2.65","34.77","59.77","28.79","90.69"
"2025-07-02",2,"3.60","2.34","31.96","54.86","28.66","91.39"
"2025-07-02",3,"3.60","2.73","28.26","48.44","28.50","92.42"
"2025-07-02",4,"3.42","2.66","24.15","41.44","28.35","92.52"
"2025-07-02",5,"3.33","2.51","23.17","39.65","28.27","92.56"
"2025-07-02",6,"3.29","2.68","23.51","40.33","28.44","92.26"
"2025-07-02",7,"3.52","2.40","23.64","40.41","29.37","90.13"
"2025-07-02",8,"4.20","1.93","22.85","38.64","31.67","82.06"
"2025-07-02",9,"5.08","0.36","21.19","35.24","33.65","73.29"
"2025-07-02",10,"4.95","0.36","20.88","34.35","34.17","70.27"
"2025-07-02",11,"5.71","0.41","21.21","34.81","36.45","65.23"
"2025-07-02",12,"6.48","0.42","21.45","35.22","35.89","65.96"
"2025-07-02",13,"5.50","0.37","21.70","35.85","35.75","66.42"
"2025-07-02",14,"6.07","0.37","22.07","36.13","36.27","62.84"
"2025-07-02",15,"5.94","0.81","20.59","33.47","36.90","63.55"
"2025-07-02",16,"6.73","0.42","20.61","33.68","35.98","66.47"
"2025-07-02",17,"4.39","3.48","19.07","31.75","30.96","84.74"
"2025-07-02",18,"3.31","3.77","19.23","32.36","29.93","86.71"
"2025-07-02",19,"3.07","3.60","20.07","34.04","29.45","87.45"
"2025-07-02",20,"3.65","3.24","22.73","38.94","29.23","89.44"
"2025-07-02",21,"3.34","3.29","23.15","39.71","29.01","91.03"
"2025-07-02",22,"3.54","3.13","24.68","42.51","29.16","90.49"
"2025-07-02",23,"3.77","2.67","23.52","40.28","29.18","89.76"
"2025-07-03",0,"3.83","2.53","22.80","38.99","28.98","90.52"
"2025-07-03",1,"3.85","2.45","22.98","39.15","28.89","91.12"
